UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601134196.76,1532.51837,1601134197.08,0.316,19.15
1601134206.76,1532.51528,1601134206.92,0.156,19.07
1601134216.76,1532.51628,1601134216.75,-0.014,19.04
1601134226.76,1532.5157,1601134226.59,-0.174,18.97
1601134236.76,1532.51535,1601134236.42,-0.344,18.86
1601134246.76,1532.51426,1601134246.26,-0.504,18.83
1601134256.76,1532.51341,1601134257.18,0.416,18.78
1601134266.76,1532.51249,1601134267.02,0.256,18.74
1601134276.76,1532.51343,1601134276.85,0.086,18.71
1601134286.76,1532.51183,1601134286.69,-0.074,18.68
1601134296.76,1532.51261,1601134296.52,-0.244,18.64
1601134306.76,1532.50886,1601134306.36,-0.404,18.29
1601134316.76,1532.50069,1601134317.28,0.516,17.66
1601134326.76,1532.4927,1601134327.12,0.356,17.03
1601134336.76,1532.48601,1601134336.95,0.186,16.39
1601134346.76,1532.47845,1601134346.79,0.026,15.82
1601134356.76,1532.46865,1601134356.62,-0.144,15.25
1601134366.76,1532.46143,1601134366.46,-0.304,14.52
1601134376.76,1532.45333,1601134376.29,-0.474,13.87
1601134386.76,1532.44611,1601134387.22,0.456,13.21
1601134396.76,1532.4366,1601134397.06,0.296,12.38
1601134406.76,1532.42981,1601134406.89,0.126,11.74
1601134416.76,1532.42322,1601134416.72,-0.044,11.28
1601134426.76,1532.41541,1601134426.55,-0.214,10.67
1601134436.76,1532.40936,1601134436.37,-0.394,10.1
1601134446.76,1532.40382,1601134447.29,0.526,9.67
1601134456.76,1532.39907,1601134457.11,0.346,9.32
1601134466.76,1532.39827,1601134466.93,0.166,9.13
1601134476.76,1532.39379,1601134476.75,-0.014,8.91
1601134486.76,1532.39316,1601134486.57,-0.194,8.76
1601134496.76,1532.39046,1601134496.39,-0.374,8.43
1601134506.76,1532.38815,1601134507.31,0.546,8.02
1601134516.76,1532.38563,1601134517.13,0.366,7.73
1601134526.76,1532.38473,1601134526.95,0.186,7.52
1601134536.76,1532.38268,1601134536.77,0.006,7.36
1601134546.76,1532.38278,1601134546.59,-0.174,7.26
1601134556.76,1532.38069,1601134556.41,-0.354,7.16
1601134566.76,1532.37948,1601134566.23,-0.534,7.02
1601134576.76,1532.37853,1601134577.15,0.386,6.95
1601134586.76,1532.3789,1601134586.97,0.206,6.91
1601134596.76,1532.37781,1601134596.79,0.026,6.9
1601134606.76,1532.3777,1601134606.61,-0.154,6.75
1601134616.76,1532.37725,1601134616.43,-0.334,6.7
1601134626.76,1532.37719,1601134626.25,-0.514,6.71
1601134636.76,1532.37689,1601134637.16,0.396,6.67
1601134646.76,1532.37796,1601134646.99,0.226,6.63
1601134656.76,1532.37624,1601134656.81,0.046,6.62
1601134666.76,1532.37509,1601134666.63,-0.134,6.55
1601134676.76,1532.37557,1601134676.45,-0.314,6.64
1601134686.76,1532.37635,1601134686.27,-0.494,6.71
1601134696.76,1532.37697,1601134697.18,0.416,6.75
1601134706.76,1532.37721,1601134707.0,0.236,6.73
1601134716.76,1532.37548,1601134716.82,0.056,6.73
1601134726.76,1532.37746,1601134726.64,-0.124,6.74
1601134736.76,1532.37557,1601134736.46,-0.304,6.71
1601134746.76,1532.37426,1601134746.29,-0.474,6.66
1601134756.76,1532.37482,1601134757.2,0.436,6.59
1601134766.76,1532.37475,1601134767.02,0.256,6.63
1601134776.76,1532.37312,1601134776.84,0.076,6.59
1601134786.76,1532.37331,1601134786.66,-0.104,6.58
1601134796.76,1532.37383,1601134796.48,-0.284,6.56
1601134806.76,1532.37327,1601134806.3,-0.464,6.51
1601134816.76,1532.37311,1601134817.22,0.456,6.47
1601134826.76,1532.37461,1601134827.04,0.276,6.44
1601134836.76,1532.37326,1601134836.86,0.096,6.42
1601134846.76,1532.37274,1601134846.68,-0.084,6.43
1601134856.76,1532.37278,1601134856.5,-0.264,6.43
1601134866.76,1532.37293,1601134866.32,-0.444,6.41
1601134876.76,1532.37403,1601134877.23,0.466,6.45
1601134886.76,1532.37286,1601134887.05,0.286,6.47
1601134896.76,1532.37363,1601134896.87,0.106,6.46
1601134906.76,1532.37369,1601134906.69,-0.074,6.35
1601134916.76,1532.3732,1601134916.52,-0.244,6.27
1601134926.76,1532.37226,1601134926.34,-0.424,6.27
1601134936.76,1532.37301,1601134937.25,0.486,6.22
1601134946.76,1532.37267,1601134947.07,0.306,6.13
1601134956.76,1532.37202,1601134956.89,0.126,6.09
1601134966.76,1532.37171,1601134966.71,-0.054,6.04
1601134976.76,1532.37059,1601134976.54,-0.224,6.01
1601134986.76,1532.37216,1601134986.36,-0.404,5.98
1601134996.76,1532.37047,1601134997.27,0.506,6.0
1601135006.76,1532.37143,1601135007.09,0.326,6.01
1601135016.76,1532.37117,1601135016.91,0.146,6.06
1601135026.76,1532.37055,1601135026.73,-0.034,6.1
1601135036.76,1532.36971,1601135036.55,-0.214,6.09
1601135046.76,1532.37031,1601135046.38,-0.384,6.03
1601135056.76,1532.36977,1601135057.29,0.526,6.04
1601135066.76,1532.37057,1601135067.11,0.346,5.96
1601135076.76,1532.36874,1601135076.93,0.166,5.93
1601135086.76,1532.36934,1601135086.75,-0.014,5.84
1601135096.76,1532.36903,1601135096.58,-0.184,5.79
1601135106.76,1532.36943,1601135106.4,-0.364,5.77
1601135116.76,1532.36843,1601135116.22,-0.544,5.76
1601135126.76,1532.3693,1601135127.13,0.366,5.73
1601135136.76,1532.36778,1601135136.95,0.186,5.74
1601135146.76,1532.36891,1601135146.77,0.006,5.77
1601135156.76,1532.36945,1601135156.59,-0.174,5.82
1601135166.76,1532.36843,1601135166.42,-0.344,5.77
1601135176.76,1532.36984,1601135176.24,-0.524,5.82
1601135186.76,1532.37069,1601135187.15,0.386,5.86
1601135196.76,1532.37021,1601135196.97,0.206,5.86
1601135206.76,1532.36969,1601135206.8,0.036,5.88
1601135216.76,1532.3693,1601135216.62,-0.144,5.8
1601135226.76,1532.36886,1601135226.44,-0.324,5.76
1601135236.76,1532.36909,1601135236.26,-0.504,5.75
1601135246.76,1532.36866,1601135247.17,0.406,5.75
1601135256.76,1532.36766,1601135257.0,0.236,5.73
1601135266.76,1532.36697,1601135266.82,0.056,5.71
1601135276.76,1532.36659,1601135276.64,-0.124,5.68
1601135286.76,1532.36591,1601135286.47,-0.294,5.64
1601135296.76,1532.36678,1601135296.29,-0.474,5.66
1601135306.76,1532.3664,1601135307.2,0.436,5.63
1601135316.76,1532.36615,1601135317.02,0.256,5.65
1601135326.76,1532.36723,1601135326.85,0.086,5.54
1601135336.76,1532.36619,1601135336.67,-0.094,5.61
1601135346.76,1532.36565,1601135346.49,-0.274,5.59
1601135356.76,1532.36621,1601135356.31,-0.454,5.59
1601135366.76,1532.36616,1601135367.23,0.466,5.57
1601135376.76,1532.36561,1601135377.05,0.286,5.54
1601135386.76,1532.36316,1601135386.87,0.106,5.52
1601135396.76,1532.36639,1601135396.69,-0.074,5.56
1601135406.76,1532.36607,1601135406.51,-0.254,5.52
1601135416.76,1532.36605,1601135416.34,-0.424,5.46
1601135426.76,1532.36722,1601135427.25,0.486,5.44
1601135436.76,1532.36486,1601135437.07,0.306,5.36
1601135446.76,1532.36439,1601135446.9,0.136,5.39
1601135456.76,1532.36538,1601135456.72,-0.044,5.41
1601135466.76,1532.36557,1601135466.54,-0.224,5.36
1601135476.76,1532.36684,1601135476.36,-0.404,5.32
1601135486.76,1532.36496,1601135487.27,0.506,5.28
1601135496.76,1532.36412,1601135497.1,0.336,5.24
1601135506.76,1532.36437,1601135506.92,0.156,5.22
1601135516.76,1532.36446,1601135516.74,-0.024,5.22
1601135526.76,1532.36362,1601135526.56,-0.204,5.18
1601135536.76,1532.36351,1601135536.39,-0.374,5.16
1601135546.76,1532.36338,1601135547.3,0.536,5.17
1601135556.76,1532.36279,1601135557.12,0.356,5.12
1601135566.76,1532.36378,1601135566.94,0.176,5.09
1601135576.76,1532.36239,1601135576.77,0.006,5.09
