UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601134196.76,1547.50614,1601134196.54,-0.224,18.96
1601134206.76,1547.50721,1601134206.37,-0.394,18.89
1601134216.76,1547.50418,1601134217.3,0.536,18.87
1601134226.76,1547.50483,1601134227.13,0.366,18.82
1601134236.76,1547.50424,1601134236.96,0.196,18.77
1601134246.76,1547.50367,1601134246.8,0.036,18.77
1601134256.76,1547.50323,1601134256.63,-0.134,18.73
1601134266.76,1547.50377,1601134266.47,-0.294,18.66
1601134276.76,1547.50325,1601134276.3,-0.464,18.65
1601134286.76,1547.50104,1601134287.23,0.466,18.6
1601134296.76,1547.50185,1601134297.07,0.306,18.54
1601134306.76,1547.4875,1601134306.9,0.136,18.13
1601134316.76,1547.47451,1601134316.73,-0.034,17.37
1601134326.76,1547.46323,1601134326.57,-0.194,16.74
1601134336.76,1547.45628,1601134336.41,-0.354,16.01
1601134346.76,1547.448,1601134346.24,-0.524,15.41
1601134356.76,1547.43914,1601134357.17,0.406,14.67
1601134366.76,1547.43203,1601134367.0,0.236,14.22
1601134376.76,1547.42149,1601134376.84,0.076,13.45
1601134386.76,1547.41151,1601134386.67,-0.094,12.82
1601134396.76,1547.40441,1601134396.51,-0.254,12.17
1601134406.76,1547.39773,1601134406.34,-0.424,11.58
1601134416.76,1547.39124,1601134417.27,0.506,10.88
1601134426.76,1547.38159,1601134427.09,0.326,10.22
1601134436.76,1547.37697,1601134436.92,0.156,9.67
1601134446.76,1547.3765,1601134446.74,-0.024,9.26
1601134456.76,1547.37539,1601134456.56,-0.204,8.99
1601134466.76,1547.37643,1601134466.38,-0.384,8.8
1601134476.76,1547.37662,1601134477.29,0.526,8.66
1601134486.76,1547.37367,1601134487.12,0.356,8.46
1601134496.76,1547.37551,1601134496.93,0.166,8.19
1601134506.76,1547.37472,1601134506.76,-0.004,7.93
1601134516.76,1547.37188,1601134516.58,-0.184,7.71
1601134526.76,1547.37143,1601134526.4,-0.364,7.57
1601134536.76,1547.37043,1601134536.22,-0.544,7.46
1601134546.76,1547.37176,1601134547.13,0.366,7.34
