UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601134196.76,1562.49212,1601134197.09,0.326,19.04
1601134206.76,1562.49072,1601134206.93,0.166,18.99
1601134216.76,1562.48964,1601134216.76,-0.004,18.93
1601134226.76,1562.49021,1601134226.6,-0.164,18.89
1601134236.76,1562.49013,1601134236.43,-0.334,18.86
1601134246.76,1562.4895,1601134246.27,-0.494,18.81
1601134256.76,1562.4883,1601134257.19,0.426,18.78
1601134266.76,1562.48768,1601134267.03,0.266,18.73
1601134276.76,1562.48885,1601134276.86,0.096,18.71
1601134286.76,1562.48805,1601134286.69,-0.074,18.66
1601134296.76,1562.48827,1601134296.53,-0.234,18.62
1601134306.76,1562.48102,1601134306.37,-0.394,18.15
1601134316.76,1562.47167,1601134317.29,0.526,17.35
1601134326.76,1562.46108,1601134327.13,0.366,16.62
1601134336.76,1562.45259,1601134336.96,0.196,15.96
1601134346.76,1562.44347,1601134346.8,0.036,15.3
1601134356.76,1562.43512,1601134356.63,-0.134,14.71
1601134366.76,1562.426,1601134366.47,-0.294,14.02
1601134376.76,1562.41668,1601134376.3,-0.464,13.35
1601134386.76,1562.40829,1601134387.23,0.466,12.59
1601134396.76,1562.39909,1601134397.07,0.306,11.93
1601134406.76,1562.39078,1601134406.9,0.136,11.28
1601134416.76,1562.38344,1601134416.73,-0.034,10.76
1601134426.76,1562.37527,1601134426.56,-0.204,10.16
1601134436.76,1562.36918,1601134436.38,-0.384,9.66
1601134446.76,1562.36472,1601134447.29,0.526,9.21
1601134456.76,1562.3618,1601134457.12,0.356,8.92
1601134466.76,1562.36085,1601134466.94,0.176,8.7
1601134476.76,1562.35986,1601134476.76,-0.004,8.54
1601134486.76,1562.35798,1601134486.58,-0.184,8.42
1601134496.76,1562.35627,1601134496.4,-0.364,8.23
1601134506.76,1562.3551,1601134506.22,-0.544,7.89
1601134516.76,1562.35424,1601134517.14,0.376,7.64
1601134526.76,1562.35312,1601134526.96,0.196,7.46
1601134536.76,1562.35308,1601134536.78,0.016,7.3
1601134546.76,1562.35125,1601134546.6,-0.164,7.2
1601134556.76,1562.35245,1601134556.42,-0.344,7.14
1601134566.76,1562.35154,1601134566.24,-0.524,7.07
1601134576.76,1562.35156,1601134577.16,0.396,7.01
1601134586.76,1562.35153,1601134586.98,0.216,6.99
1601134596.76,1562.35205,1601134596.8,0.036,6.93
1601134606.76,1562.35252,1601134606.62,-0.144,6.85
1601134616.76,1562.35087,1601134616.44,-0.324,6.83
1601134626.76,1562.35146,1601134626.26,-0.504,6.76
1601134636.76,1562.35088,1601134637.17,0.406,6.75
1601134646.76,1562.35207,1601134647.0,0.236,6.73
1601134656.76,1562.35069,1601134656.81,0.046,6.75
1601134666.76,1562.35054,1601134666.63,-0.134,6.67
1601134676.76,1562.35192,1601134676.46,-0.304,6.72
1601134686.76,1562.35076,1601134686.28,-0.484,6.76
1601134696.76,1562.34994,1601134697.19,0.426,6.81
1601134706.76,1562.35035,1601134707.01,0.246,6.77
1601134716.76,1562.34882,1601134716.83,0.066,6.76
1601134726.76,1562.34848,1601134726.65,-0.114,6.75
1601134736.76,1562.34826,1601134736.47,-0.294,6.7
1601134746.76,1562.34733,1601134746.29,-0.474,6.7
1601134756.76,1562.34732,1601134757.2,0.436,6.67
1601134766.76,1562.34673,1601134767.03,0.266,6.6
1601134776.76,1562.34734,1601134776.85,0.086,6.6
1601134786.76,1562.34722,1601134786.67,-0.094,6.51
1601134796.76,1562.347,1601134796.49,-0.274,6.51
1601134806.76,1562.34669,1601134806.31,-0.454,6.49
1601134816.76,1562.34758,1601134817.22,0.456,6.45
1601134826.76,1562.34571,1601134827.04,0.276,6.43
1601134836.76,1562.34535,1601134836.86,0.096,6.38
1601134846.76,1562.34587,1601134846.68,-0.084,6.39
1601134856.76,1562.34586,1601134856.51,-0.254,6.42
1601134866.76,1562.34486,1601134866.33,-0.434,6.37
1601134876.76,1562.34706,1601134877.24,0.476,6.4
1601134886.76,1562.34738,1601134887.06,0.296,6.42
1601134896.76,1562.34763,1601134896.88,0.116,6.41
1601134906.76,1562.3477,1601134906.7,-0.064,6.34
1601134916.76,1562.34684,1601134916.52,-0.244,6.27
1601134926.76,1562.3476,1601134926.34,-0.424,6.24
1601134936.76,1562.34702,1601134937.26,0.496,6.19
1601134946.76,1562.34728,1601134947.08,0.316,6.13
1601134956.76,1562.34685,1601134956.9,0.136,6.09
1601134966.76,1562.34591,1601134966.72,-0.044,6.06
1601134976.76,1562.34606,1601134976.55,-0.214,6.01
1601134986.76,1562.34594,1601134986.36,-0.404,5.97
1601134996.76,1562.34567,1601134997.28,0.516,6.02
1601135006.76,1562.34493,1601135007.1,0.336,6.05
1601135016.76,1562.34546,1601135016.92,0.156,6.05
1601135026.76,1562.34509,1601135026.74,-0.024,6.06
1601135036.76,1562.34356,1601135036.56,-0.204,6.04
1601135046.76,1562.34383,1601135046.39,-0.374,6.02
1601135056.76,1562.34358,1601135057.3,0.536,6.01
1601135066.76,1562.34456,1601135067.12,0.356,5.99
1601135076.76,1562.34358,1601135076.94,0.176,5.92
1601135086.76,1562.344,1601135086.76,-0.004,5.87
1601135096.76,1562.34311,1601135096.58,-0.184,5.83
1601135106.76,1562.34408,1601135106.41,-0.354,5.79
1601135116.76,1562.34292,1601135116.23,-0.534,5.75
1601135126.76,1562.34272,1601135127.14,0.376,5.74
1601135136.76,1562.3432,1601135136.96,0.196,5.78
1601135146.76,1562.34329,1601135146.78,0.016,5.82
1601135156.76,1562.34253,1601135156.6,-0.164,5.8
1601135166.76,1562.34261,1601135166.43,-0.334,5.79
1601135176.76,1562.34428,1601135176.24,-0.524,5.86
1601135186.76,1562.34431,1601135187.16,0.396,5.9
1601135196.76,1562.34335,1601135196.98,0.216,5.89
1601135206.76,1562.3434,1601135206.8,0.036,5.88
1601135216.76,1562.34283,1601135216.62,-0.144,5.82
1601135226.76,1562.34261,1601135226.45,-0.314,5.81
1601135236.76,1562.34181,1601135236.27,-0.494,5.76
1601135246.76,1562.34117,1601135247.18,0.416,5.73
1601135256.76,1562.34166,1601135257.01,0.246,5.73
1601135266.76,1562.34107,1601135266.83,0.066,5.64
1601135276.76,1562.33979,1601135276.65,-0.114,5.63
1601135286.76,1562.33934,1601135286.47,-0.294,5.62
1601135296.76,1562.33927,1601135296.3,-0.464,5.62
1601135306.76,1562.33899,1601135307.21,0.446,5.6
1601135316.76,1562.3393,1601135317.03,0.266,5.58
1601135326.76,1562.33933,1601135326.85,0.086,5.55
1601135336.76,1562.33939,1601135336.67,-0.094,5.56
1601135346.76,1562.34003,1601135346.5,-0.264,5.54
1601135356.76,1562.339,1601135356.32,-0.444,5.5
1601135366.76,1562.34103,1601135367.24,0.476,5.53
1601135376.76,1562.34086,1601135377.06,0.296,5.53
1601135386.76,1562.34046,1601135386.88,0.116,5.57
1601135396.76,1562.34045,1601135396.7,-0.064,5.53
1601135406.76,1562.34,1601135406.52,-0.244,5.52
