UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601134196.76,1532.51837,1601134197.1,0.336,18.81
1601134206.76,1532.51528,1601134206.94,0.176,18.74
1601134216.76,1532.51628,1601134216.77,0.006,18.66
1601134226.76,1532.5157,1601134226.61,-0.154,18.61
1601134236.76,1532.51535,1601134236.44,-0.324,18.57
1601134246.76,1532.51426,1601134246.28,-0.484,18.55
1601134256.76,1532.51341,1601134257.2,0.436,18.49
1601134266.76,1532.51249,1601134267.04,0.276,18.44
1601134276.76,1532.51343,1601134276.87,0.106,18.4
1601134286.76,1532.51183,1601134286.7,-0.064,18.38
1601134296.76,1532.51261,1601134296.54,-0.224,18.37
1601134306.76,1532.50886,1601134306.38,-0.384,17.97
1601134316.76,1532.50069,1601134317.3,0.536,17.15
1601134326.76,1532.4927,1601134327.13,0.366,16.35
1601134336.76,1532.48601,1601134336.97,0.206,15.67
1601134346.76,1532.47845,1601134346.81,0.046,14.97
1601134356.76,1532.46865,1601134356.64,-0.124,14.31
1601134366.76,1532.46143,1601134366.47,-0.294,13.67
1601134376.76,1532.45333,1601134376.31,-0.454,12.89
1601134386.76,1532.44611,1601134387.24,0.476,12.15
1601134396.76,1532.4366,1601134397.08,0.316,11.38
1601134406.76,1532.42981,1601134406.91,0.146,10.69
1601134416.76,1532.42322,1601134416.74,-0.024,10.11
1601134426.76,1532.41541,1601134426.57,-0.194,9.48
1601134436.76,1532.40936,1601134436.39,-0.374,8.93
1601134446.76,1532.40382,1601134447.3,0.536,8.41
1601134456.76,1532.39907,1601134457.12,0.356,8.13
1601134466.76,1532.39827,1601134466.95,0.186,7.96
1601134476.76,1532.39379,1601134476.77,0.006,7.77
1601134486.76,1532.39316,1601134486.59,-0.174,7.61
1601134496.76,1532.39046,1601134496.41,-0.354,7.5
1601134506.76,1532.38815,1601134506.23,-0.534,7.3
1601134516.76,1532.38563,1601134517.15,0.386,7.13
1601134526.76,1532.38473,1601134526.96,0.196,6.97
1601134536.76,1532.38268,1601134536.78,0.016,6.86
1601134546.76,1532.38278,1601134546.6,-0.164,6.82
1601134556.76,1532.38069,1601134556.43,-0.334,6.72
1601134566.76,1532.37948,1601134566.25,-0.514,6.66
1601134576.76,1532.37853,1601134577.17,0.406,6.58
1601134586.76,1532.3789,1601134586.99,0.226,6.58
1601134596.76,1532.37781,1601134596.81,0.046,6.57
1601134606.76,1532.3777,1601134606.62,-0.144,6.54
1601134616.76,1532.37725,1601134616.45,-0.314,6.47
1601134626.76,1532.37719,1601134626.27,-0.494,6.42
1601134636.76,1532.37689,1601134637.18,0.416,6.41
1601134646.76,1532.37796,1601134647.0,0.236,6.41
1601134656.76,1532.37624,1601134656.82,0.056,6.38
1601134666.76,1532.37509,1601134666.64,-0.124,6.37
1601134676.76,1532.37557,1601134676.46,-0.304,6.37
1601134686.76,1532.37635,1601134686.29,-0.474,6.37
1601134696.76,1532.37697,1601134697.2,0.436,6.34
1601134706.76,1532.37721,1601134707.02,0.256,6.32
1601134716.76,1532.37548,1601134716.84,0.076,6.32
1601134726.76,1532.37746,1601134726.66,-0.104,6.28
1601134736.76,1532.37557,1601134736.48,-0.284,6.27
1601134746.76,1532.37426,1601134746.3,-0.464,6.22
1601134756.76,1532.37482,1601134757.21,0.446,6.15
1601134766.76,1532.37475,1601134767.03,0.266,6.16
1601134776.76,1532.37312,1601134776.85,0.086,6.15
1601134786.76,1532.37331,1601134786.68,-0.084,6.08
1601134796.76,1532.37383,1601134796.5,-0.264,6.08
1601134806.76,1532.37327,1601134806.32,-0.444,6.05
1601134816.76,1532.37311,1601134817.23,0.466,6.02
1601134826.76,1532.37461,1601134827.05,0.286,5.99
1601134836.76,1532.37326,1601134836.87,0.106,5.97
1601134846.76,1532.37274,1601134846.69,-0.074,6.0
1601134856.76,1532.37278,1601134856.51,-0.254,6.0
1601134866.76,1532.37293,1601134866.33,-0.434,6.01
1601134876.76,1532.37403,1601134877.25,0.486,5.99
1601134886.76,1532.37286,1601134887.07,0.306,6.03
1601134896.76,1532.37363,1601134896.89,0.126,6.06
1601134906.76,1532.37369,1601134906.71,-0.054,6.04
1601134916.76,1532.3732,1601134916.53,-0.234,6.01
1601134926.76,1532.37226,1601134926.35,-0.414,5.95
1601134936.76,1532.37301,1601134937.26,0.496,6.0
1601134946.76,1532.37267,1601134947.08,0.316,5.95
1601134956.76,1532.37202,1601134956.91,0.146,5.91
1601134966.76,1532.37171,1601134966.73,-0.034,5.89
1601134976.76,1532.37059,1601134976.56,-0.204,5.85
1601134986.76,1532.37216,1601134986.37,-0.394,5.8
1601134996.76,1532.37047,1601134997.29,0.526,5.8
1601135006.76,1532.37143,1601135007.11,0.346,5.79
1601135016.76,1532.37117,1601135016.93,0.166,5.79
1601135026.76,1532.37055,1601135026.75,-0.014,5.8
1601135036.76,1532.36971,1601135036.57,-0.194,5.82
1601135046.76,1532.37031,1601135046.4,-0.364,5.78
1601135056.76,1532.36977,1601135057.3,0.536,5.75
1601135066.76,1532.37057,1601135067.12,0.356,5.71
1601135076.76,1532.36874,1601135076.95,0.186,5.71
1601135086.76,1532.36934,1601135086.77,0.006,5.69
1601135096.76,1532.36903,1601135096.59,-0.174,5.63
1601135106.76,1532.36943,1601135106.42,-0.344,5.64
1601135116.76,1532.36843,1601135116.24,-0.524,5.62
1601135126.76,1532.3693,1601135127.15,0.386,5.62
1601135136.76,1532.36778,1601135136.96,0.196,5.6
1601135146.76,1532.36891,1601135146.79,0.026,5.6
1601135156.76,1532.36945,1601135156.61,-0.154,5.63
1601135166.76,1532.36843,1601135166.44,-0.324,5.66
1601135176.76,1532.36984,1601135176.25,-0.514,5.68
1601135186.76,1532.37069,1601135187.16,0.396,5.68
1601135196.76,1532.37021,1601135196.99,0.226,5.68
1601135206.76,1532.36969,1601135206.81,0.046,5.66
1601135216.76,1532.3693,1601135216.63,-0.134,5.62
1601135226.76,1532.36886,1601135226.45,-0.314,5.57
1601135236.76,1532.36909,1601135236.28,-0.484,5.56
1601135246.76,1532.36866,1601135247.19,0.426,5.55
1601135256.76,1532.36766,1601135257.02,0.256,5.53
1601135266.76,1532.36697,1601135266.84,0.076,5.51
1601135276.76,1532.36659,1601135276.66,-0.104,5.42
1601135286.76,1532.36591,1601135286.48,-0.284,5.42
1601135296.76,1532.36678,1601135296.3,-0.464,5.42
1601135306.76,1532.3664,1601135307.21,0.446,5.38
1601135316.76,1532.36615,1601135317.04,0.276,5.41
1601135326.76,1532.36723,1601135326.86,0.096,5.38
1601135336.76,1532.36619,1601135336.68,-0.084,5.34
1601135346.76,1532.36565,1601135346.51,-0.254,5.35
1601135356.76,1532.36621,1601135356.32,-0.444,5.29
1601135366.76,1532.36616,1601135367.24,0.476,5.33
1601135376.76,1532.36561,1601135377.06,0.296,5.35
1601135386.76,1532.36316,1601135386.88,0.116,5.36
1601135396.76,1532.36639,1601135396.71,-0.054,5.39
1601135406.76,1532.36607,1601135406.53,-0.234,5.36
1601135416.76,1532.36605,1601135416.35,-0.414,5.34
1601135426.76,1532.36722,1601135427.26,0.496,5.33
1601135436.76,1532.36486,1601135437.09,0.326,5.31
1601135446.76,1532.36439,1601135446.91,0.146,5.3
1601135456.76,1532.36538,1601135456.73,-0.034,5.3
1601135466.76,1532.36557,1601135466.56,-0.204,5.29
1601135476.76,1532.36684,1601135476.38,-0.384,5.26
1601135486.76,1532.36496,1601135487.29,0.526,5.22
1601135496.76,1532.36412,1601135497.12,0.356,5.19
1601135506.76,1532.36437,1601135506.94,0.176,5.21
1601135516.76,1532.36446,1601135516.75,-0.014,5.18
1601135526.76,1532.36362,1601135526.58,-0.184,5.15
1601135536.76,1532.36351,1601135536.41,-0.354,5.15
1601135546.76,1532.36338,1601135546.22,-0.544,5.08
1601135556.76,1532.36279,1601135557.14,0.376,5.08
1601135566.76,1532.36378,1601135566.96,0.196,5.07
1601135576.76,1532.36239,1601135576.78,0.016,5.02
1601135586.76,1532.36222,1601135586.61,-0.154,4.98
1601135596.76,1532.3624,1601135596.42,-0.344,4.96
1601135606.76,1532.36213,1601135606.25,-0.514,4.93
1601135616.76,1532.3623,1601135617.17,0.406,4.93
1601135626.76,1532.362,1601135626.99,0.226,4.97
1601135636.76,1532.3631,1601135636.8,0.036,5.0
1601135646.76,1532.36271,1601135646.63,-0.134,4.99
1601135656.76,1532.36104,1601135656.45,-0.314,4.94
1601135666.76,1532.36154,1601135666.27,-0.494,4.87
1601135676.76,1532.36003,1601135677.19,0.426,4.82
1601135686.76,1532.35985,1601135687.01,0.246,4.81
1601135696.76,1532.35988,1601135696.83,0.066,4.78
1601135706.76,1532.35886,1601135706.66,-0.104,4.76
1601135716.76,1532.35959,1601135716.47,-0.294,4.71
1601135726.76,1532.35926,1601135726.3,-0.464,4.72
1601135736.76,1532.36011,1601135737.21,0.446,4.71
1601135746.76,1532.35994,1601135747.03,0.266,4.72
1601135756.76,1532.35979,1601135756.85,0.086,4.73
1601135766.76,1532.35859,1601135766.68,-0.084,4.68
1601135776.76,1532.35763,1601135776.5,-0.264,4.7
1601135786.76,1532.35906,1601135786.33,-0.434,4.72
1601135796.76,1532.35988,1601135797.24,0.476,4.73
1601135806.76,1532.35945,1601135807.06,0.296,4.74
1601135816.76,1532.35963,1601135816.88,0.116,4.7
1601135826.76,1532.35821,1601135826.71,-0.054,4.69
1601135836.76,1532.35826,1601135836.52,-0.244,4.65
1601135846.76,1532.35801,1601135846.35,-0.414,4.64
1601135856.76,1532.3586,1601135857.26,0.496,4.63
1601135866.76,1532.35973,1601135867.08,0.316,4.67
1601135876.76,1532.3587,1601135876.91,0.146,4.64
1601135886.76,1532.35918,1601135886.73,-0.034,4.64
1601135896.76,1532.35822,1601135896.55,-0.214,4.64
1601135906.76,1532.3581,1601135906.38,-0.384,4.61
1601135916.76,1532.35961,1601135917.29,0.526,4.6
1601135926.76,1532.3579,1601135927.11,0.346,4.61
1601135936.76,1532.35857,1601135936.93,0.166,4.59
1601135946.76,1532.35707,1601135946.75,-0.014,4.59
1601135956.76,1532.35846,1601135956.58,-0.184,4.59
1601135966.76,1532.35788,1601135966.41,-0.354,4.59
1601135976.76,1532.35839,1601135976.22,-0.544,4.6
1601135986.76,1532.35825,1601135987.14,0.376,4.6
1601135996.76,1532.35795,1601135996.95,0.186,4.61
1601136006.76,1532.35726,1601136006.79,0.026,4.6
1601136016.76,1532.3572,1601136016.6,-0.164,4.57
1601136026.76,1532.35775,1601136026.43,-0.334,4.61
1601136036.76,1532.35737,1601136036.25,-0.514,4.61
1601136046.76,1532.35827,1601136047.16,0.396,4.6
1601136056.76,1532.35799,1601136056.98,0.216,4.62
1601136066.76,1532.35796,1601136066.81,0.046,4.59
1601136076.76,1532.35814,1601136076.62,-0.144,4.59
1601136086.76,1532.35733,1601136086.45,-0.314,4.57
1601136096.76,1532.36061,1601136096.27,-0.494,4.94
1601136106.76,1532.3738,1601136107.19,0.426,6.46
1601136116.76,1532.38619,1601136117.0,0.236,7.44
1601136126.76,1532.39207,1601136126.82,0.056,7.83
1601136136.76,1532.3931,1601136136.65,-0.114,7.93
1601136146.76,1532.39503,1601136146.47,-0.294,8.07
1601136156.76,1532.39867,1601136156.29,-0.474,8.26
1601136166.76,1532.39992,1601136167.21,0.446,8.42
1601136176.76,1532.40106,1601136177.02,0.256,8.5
1601136186.76,1532.40304,1601136186.85,0.086,8.59
1601136196.76,1532.40414,1601136196.68,-0.084,8.73
1601136206.76,1532.40416,1601136206.49,-0.274,8.78
1601136216.76,1532.40477,1601136216.31,-0.454,8.86
1601136226.76,1532.4067,1601136227.22,0.456,8.93
1601136236.76,1532.40733,1601136237.05,0.286,9.02
1601136246.76,1532.40948,1601136246.87,0.106,9.08
1601136256.76,1532.40921,1601136256.69,-0.074,9.14
1601136266.76,1532.41028,1601136266.51,-0.254,9.17
1601136276.76,1532.41033,1601136276.33,-0.434,9.2
1601136286.76,1532.41013,1601136287.24,0.476,9.25
1601136296.76,1532.41233,1601136297.07,0.306,9.3
1601136306.76,1532.41177,1601136306.89,0.126,9.34
1601136316.76,1532.41221,1601136316.72,-0.044,9.36
1601136326.76,1532.41235,1601136326.54,-0.224,9.36
1601136336.76,1532.41271,1601136336.36,-0.404,9.38
1601136346.76,1532.4132,1601136347.26,0.496,9.37
1601136356.76,1532.41268,1601136357.09,0.326,9.42
1601136366.76,1532.41288,1601136366.91,0.146,9.42
1601136376.76,1532.41309,1601136376.74,-0.024,9.47
1601136386.76,1532.41396,1601136386.55,-0.214,9.47
1601136396.76,1532.41328,1601136396.37,-0.394,9.5
1601136406.76,1532.41406,1601136407.29,0.526,9.48
1601136416.76,1532.41355,1601136417.11,0.346,9.48
1601136426.76,1532.41436,1601136426.94,0.176,9.49
1601136436.76,1532.41371,1601136436.76,-0.004,9.49
1601136446.76,1532.41342,1601136446.58,-0.184,9.52
1601136456.76,1532.41387,1601136456.4,-0.364,9.47
1601136466.76,1532.41438,1601136466.22,-0.544,9.48
1601136476.76,1532.41445,1601136477.13,0.366,9.54
1601136486.76,1532.41421,1601136486.95,0.186,9.55
1601136496.76,1532.41466,1601136496.78,0.016,9.53
1601136506.76,1532.41418,1601136506.59,-0.174,9.5
1601136516.76,1532.41433,1601136516.41,-0.354,9.54
1601136526.76,1532.41463,1601136526.24,-0.524,9.54
1601136536.76,1532.4152,1601136537.15,0.386,9.57
1601136546.76,1532.41388,1601136546.97,0.206,9.52
1601136556.76,1532.41503,1601136556.8,0.036,9.56
1601136566.76,1532.41462,1601136566.62,-0.144,9.53
1601136576.76,1532.41479,1601136576.43,-0.334,9.58
1601136586.76,1532.41432,1601136586.26,-0.504,9.57
1601136596.76,1532.41373,1601136597.18,0.416,9.57
1601136606.76,1532.4139,1601136606.99,0.226,9.6
1601136616.76,1532.41448,1601136616.82,0.056,9.59
1601136626.76,1532.41485,1601136626.63,-0.134,9.62
1601136636.76,1532.41391,1601136636.45,-0.314,9.62
1601136646.76,1532.41479,1601136646.28,-0.484,9.61
1601136656.76,1532.41516,1601136657.19,0.426,9.6
1601136666.76,1532.41556,1601136667.02,0.256,9.6
1601136676.76,1532.41549,1601136676.83,0.066,9.6
1601136686.76,1532.41504,1601136686.66,-0.104,9.61
1601136696.76,1532.41562,1601136696.48,-0.284,9.63
1601136706.76,1532.41525,1601136706.3,-0.464,9.63
1601136716.76,1532.4151,1601136717.22,0.456,9.6
1601136726.76,1532.41561,1601136727.03,0.266,9.61
1601136736.76,1532.41403,1601136736.87,0.106,9.67
1601136746.76,1532.41489,1601136746.68,-0.084,9.64
1601136756.76,1532.41491,1601136756.51,-0.254,9.64
1601136766.76,1532.41435,1601136766.33,-0.434,9.65
1601136776.76,1532.41521,1601136777.24,0.476,9.63
1601136786.76,1532.4146,1601136787.06,0.296,9.62
1601136796.76,1532.41616,1601136796.87,0.106,9.67
1601136806.76,1532.41599,1601136806.7,-0.064,9.66
1601136816.76,1532.41596,1601136816.53,-0.234,9.67
1601136826.76,1532.41492,1601136826.34,-0.424,9.67
1601136836.76,1532.41524,1601136837.25,0.486,9.66
1601136846.76,1532.4158,1601136847.08,0.316,9.67
1601136856.76,1532.41583,1601136856.9,0.136,9.62
