UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601134196.76,1547.50614,1601134196.56,-0.204,18.46
1601134206.76,1547.50721,1601134206.38,-0.384,18.46
1601134216.76,1547.50418,1601134216.22,-0.544,18.35
1601134226.76,1547.50483,1601134227.15,0.386,18.32
1601134236.76,1547.50424,1601134236.98,0.216,18.25
1601134246.76,1547.50367,1601134246.82,0.056,18.28
1601134256.76,1547.50323,1601134256.65,-0.114,18.24
1601134266.76,1547.50377,1601134266.49,-0.274,18.24
1601134276.76,1547.50325,1601134276.33,-0.434,18.19
1601134286.76,1547.50104,1601134287.25,0.486,18.15
1601134296.76,1547.50185,1601134297.09,0.326,18.11
1601134306.76,1547.4875,1601134306.92,0.156,17.55
1601134316.76,1547.47451,1601134316.75,-0.014,16.68
1601134326.76,1547.46323,1601134326.58,-0.184,15.83
1601134336.76,1547.45628,1601134336.43,-0.334,15.08
1601134346.76,1547.448,1601134346.26,-0.504,14.41
1601134356.76,1547.43914,1601134357.19,0.426,13.58
1601134366.76,1547.43203,1601134367.02,0.256,12.95
1601134376.76,1547.42149,1601134376.85,0.086,12.14
1601134386.76,1547.41151,1601134386.69,-0.074,11.26
1601134396.76,1547.40441,1601134396.52,-0.244,10.53
1601134406.76,1547.39773,1601134406.36,-0.404,9.87
1601134416.76,1547.39124,1601134417.29,0.526,9.21
1601134426.76,1547.38159,1601134427.11,0.346,8.54
1601134436.76,1547.37697,1601134436.93,0.166,7.96
1601134446.76,1547.3765,1601134446.77,0.006,7.62
1601134456.76,1547.37539,1601134456.57,-0.194,7.39
1601134466.76,1547.37643,1601134466.4,-0.364,7.28
1601134476.76,1547.37662,1601134476.22,-0.544,7.23
1601134486.76,1547.37367,1601134487.13,0.366,7.07
1601134496.76,1547.37551,1601134496.95,0.186,7.05
1601134506.76,1547.37472,1601134506.77,0.006,7.01
1601134516.76,1547.37188,1601134516.59,-0.174,6.93
1601134526.76,1547.37143,1601134526.41,-0.354,6.79
1601134536.76,1547.37043,1601134536.24,-0.524,6.73
1601134546.76,1547.37176,1601134547.15,0.386,6.68
1601134556.76,1547.37202,1601134556.97,0.206,6.71
1601134566.76,1547.37262,1601134566.79,0.026,6.68
1601134576.76,1547.37264,1601134576.61,-0.154,6.7
1601134586.76,1547.37205,1601134586.43,-0.334,6.68
1601134596.76,1547.373,1601134596.26,-0.504,6.67
1601134606.76,1547.37146,1601134607.18,0.416,6.64
1601134616.76,1547.37185,1601134616.99,0.226,6.59
1601134626.76,1547.37323,1601134626.81,0.046,6.62
1601134636.76,1547.37204,1601134636.63,-0.134,6.61
1601134646.76,1547.37291,1601134646.45,-0.314,6.58
1601134656.76,1547.37104,1601134656.28,-0.484,6.54
1601134666.76,1547.37147,1601134667.18,0.416,6.58
1601134676.76,1547.3711,1601134677.01,0.246,6.5
1601134686.76,1547.37142,1601134686.83,0.066,6.45
1601134696.76,1547.37239,1601134696.65,-0.114,6.45
1601134706.76,1547.36848,1601134706.48,-0.284,6.4
1601134716.76,1547.36891,1601134716.29,-0.474,6.35
1601134726.76,1547.36777,1601134727.2,0.436,6.29
1601134736.76,1547.36779,1601134737.02,0.256,6.24
1601134746.76,1547.36862,1601134746.85,0.086,6.24
1601134756.76,1547.36706,1601134756.67,-0.094,6.22
1601134766.76,1547.36598,1601134766.49,-0.274,6.18
1601134776.76,1547.36764,1601134776.31,-0.454,6.13
1601134786.76,1547.36714,1601134787.22,0.456,6.13
1601134796.76,1547.36796,1601134797.04,0.276,6.11
1601134806.76,1547.36756,1601134806.86,0.096,6.12
1601134816.76,1547.36678,1601134816.68,-0.084,6.07
1601134826.76,1547.36627,1601134826.5,-0.264,6.02
1601134836.76,1547.36676,1601134836.33,-0.434,6.05
1601134846.76,1547.36725,1601134847.24,0.476,6.04
1601134856.76,1547.36643,1601134857.06,0.296,6.05
1601134866.76,1547.36697,1601134866.88,0.116,6.06
1601134876.76,1547.36703,1601134876.7,-0.064,6.08
1601134886.76,1547.36836,1601134886.53,-0.234,6.12
1601134896.76,1547.36859,1601134896.34,-0.424,6.13
1601134906.76,1547.36793,1601134907.25,0.486,6.13
1601134916.76,1547.36646,1601134917.09,0.326,6.12
1601134926.76,1547.3677,1601134926.9,0.136,6.12
1601134936.76,1547.36693,1601134936.72,-0.044,6.13
1601134946.76,1547.36641,1601134946.54,-0.224,6.1
1601134956.76,1547.36676,1601134956.37,-0.394,6.08
1601134966.76,1547.36493,1601134967.28,0.516,6.01
1601134976.76,1547.36442,1601134977.09,0.326,5.95
1601134986.76,1547.36446,1601134986.91,0.146,5.92
1601134996.76,1547.36446,1601134996.74,-0.024,5.9
1601135006.76,1547.36381,1601135006.56,-0.204,5.91
1601135016.76,1547.36569,1601135016.39,-0.374,5.91
1601135026.76,1547.36506,1601135027.29,0.526,5.88
1601135036.76,1547.36417,1601135037.12,0.356,5.85
1601135046.76,1547.363,1601135046.93,0.166,5.85
1601135056.76,1547.36352,1601135056.76,-0.004,5.83
1601135066.76,1547.36306,1601135066.58,-0.184,5.83
1601135076.76,1547.36513,1601135076.4,-0.364,5.83
1601135086.76,1547.3636,1601135086.22,-0.544,5.8
1601135096.76,1547.36224,1601135097.14,0.376,5.76
1601135106.76,1547.36322,1601135106.96,0.196,5.77
1601135116.76,1547.36182,1601135116.78,0.016,5.72
1601135126.76,1547.3621,1601135126.6,-0.164,5.71
1601135136.76,1547.36387,1601135136.42,-0.344,5.68
1601135146.76,1547.36277,1601135146.25,-0.514,5.71
1601135156.76,1547.36506,1601135157.15,0.386,5.71
1601135166.76,1547.36379,1601135166.97,0.206,5.75
1601135176.76,1547.36472,1601135176.8,0.036,5.77
1601135186.76,1547.36375,1601135186.62,-0.144,5.79
1601135196.76,1547.3636,1601135196.44,-0.324,5.76
1601135206.76,1547.3626,1601135206.26,-0.504,5.76
1601135216.76,1547.36323,1601135217.18,0.416,5.68
1601135226.76,1547.36167,1601135227.0,0.236,5.61
1601135236.76,1547.36286,1601135236.82,0.056,5.6
1601135246.76,1547.36291,1601135246.64,-0.124,5.57
1601135256.76,1547.36188,1601135256.46,-0.304,5.58
1601135266.76,1547.35987,1601135266.29,-0.474,5.52
1601135276.76,1547.36111,1601135277.2,0.436,5.51
1601135286.76,1547.35917,1601135287.02,0.256,5.48
1601135296.76,1547.36015,1601135296.84,0.076,5.48
1601135306.76,1547.35917,1601135306.67,-0.094,5.46
1601135316.76,1547.36053,1601135316.49,-0.274,5.42
1601135326.76,1547.36027,1601135326.31,-0.454,5.39
1601135336.76,1547.35903,1601135337.23,0.466,5.41
1601135346.76,1547.35978,1601135347.05,0.286,5.37
1601135356.76,1547.36001,1601135356.87,0.106,5.42
