UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601134196.76,1567.46636,1601134197.27,0.506,19.18
1601134206.76,1567.46501,1601134207.11,0.346,19.1
1601134216.76,1567.46507,1601134216.94,0.176,19.01
1601134226.76,1567.46398,1601134226.78,0.016,18.98
1601134236.76,1567.46198,1601134236.61,-0.154,18.93
1601134246.76,1567.46145,1601134246.44,-0.324,18.86
1601134256.76,1567.45991,1601134256.28,-0.484,18.82
1601134266.76,1567.45994,1601134267.21,0.446,18.77
1601134276.76,1567.45824,1601134277.05,0.286,18.72
1601134286.76,1567.45901,1601134286.88,0.116,18.71
1601134296.76,1567.45906,1601134296.71,-0.054,18.65
1601134306.76,1567.45234,1601134306.55,-0.214,18.29
1601134316.76,1567.44358,1601134316.38,-0.384,17.63
1601134326.76,1567.43444,1601134327.31,0.546,16.95
1601134336.76,1567.42577,1601134337.15,0.386,16.28
1601134346.76,1567.41871,1601134346.98,0.216,15.69
1601134356.76,1567.41011,1601134356.82,0.056,15.14
1601134366.76,1567.40279,1601134366.65,-0.114,14.46
1601134376.76,1567.39322,1601134376.48,-0.284,13.76
1601134386.76,1567.38413,1601134386.32,-0.444,13.06
1601134396.76,1567.37619,1601134397.24,0.476,12.26
1601134406.76,1567.36891,1601134407.08,0.316,11.57
1601134416.76,1567.36004,1601134416.91,0.146,11.04
1601134426.76,1567.35409,1601134426.74,-0.024,10.42
1601134436.76,1567.34741,1601134436.57,-0.194,9.91
1601134446.76,1567.34159,1601134446.38,-0.384,9.45
1601134456.76,1567.33721,1601134457.3,0.536,9.06
1601134466.76,1567.3358,1601134467.12,0.356,8.83
1601134476.76,1567.33354,1601134476.94,0.176,8.57
1601134486.76,1567.33243,1601134486.76,-0.004,8.44
1601134496.76,1567.32998,1601134496.58,-0.184,8.17
1601134506.76,1567.32711,1601134506.41,-0.354,7.81
1601134516.76,1567.32588,1601134516.23,-0.534,7.55
1601134526.76,1567.32278,1601134527.13,0.366,7.3
1601134536.76,1567.32272,1601134536.96,0.196,7.16
1601134546.76,1567.32213,1601134546.78,0.016,7.05
1601134556.76,1567.32041,1601134556.6,-0.164,6.96
1601134566.76,1567.32094,1601134566.42,-0.344,6.89
1601134576.76,1567.32069,1601134576.24,-0.524,6.79
1601134586.76,1567.3201,1601134587.15,0.386,6.76
1601134596.76,1567.31998,1601134596.98,0.216,6.72
1601134606.76,1567.31889,1601134606.8,0.036,6.66
1601134616.76,1567.31925,1601134616.62,-0.144,6.57
1601134626.76,1567.31882,1601134626.44,-0.324,6.54
1601134636.76,1567.31915,1601134636.26,-0.504,6.55
1601134646.76,1567.3192,1601134647.18,0.416,6.51
1601134656.76,1567.31933,1601134656.99,0.226,6.51
