UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601134196.76,1527.51589,1601134196.92,0.156,18.55
1601134206.76,1527.51508,1601134206.75,-0.014,18.53
1601134216.76,1527.51536,1601134216.59,-0.174,18.48
1601134226.76,1527.51461,1601134226.42,-0.344,18.51
1601134236.76,1527.51571,1601134236.26,-0.504,18.46
1601134246.76,1527.51468,1601134247.19,0.426,18.44
1601134256.76,1527.51433,1601134257.02,0.256,18.44
1601134266.76,1527.51369,1601134266.86,0.096,18.39
1601134276.76,1527.51413,1601134276.69,-0.074,18.38
1601134286.76,1527.51261,1601134286.53,-0.234,18.4
1601134296.76,1527.51279,1601134296.37,-0.394,18.39
1601134306.76,1527.50693,1601134307.29,0.526,17.79
1601134316.76,1527.49988,1601134317.12,0.356,17.01
1601134326.76,1527.48977,1601134326.96,0.196,16.28
1601134336.76,1527.48172,1601134336.8,0.036,15.61
1601134346.76,1527.47414,1601134346.62,-0.144,14.88
1601134356.76,1527.46648,1601134356.46,-0.304,14.31
1601134366.76,1527.45843,1601134366.3,-0.464,13.61
1601134376.76,1527.45094,1601134377.23,0.466,12.88
1601134386.76,1527.44166,1601134387.06,0.296,12.16
1601134396.76,1527.43426,1601134396.89,0.126,11.34
1601134406.76,1527.42653,1601134406.73,-0.034,10.73
1601134416.76,1527.41982,1601134416.56,-0.204,10.12
1601134426.76,1527.41147,1601134426.39,-0.374,9.42
1601134436.76,1527.40693,1601134437.3,0.536,8.87
1601134446.76,1527.40214,1601134447.12,0.356,8.47
1601134456.76,1527.3986,1601134456.94,0.176,8.17
1601134466.76,1527.39613,1601134466.77,0.006,7.96
1601134476.76,1527.3947,1601134476.58,-0.184,7.85
1601134486.76,1527.39363,1601134486.41,-0.354,7.66
1601134496.76,1527.39166,1601134496.23,-0.534,7.58
1601134506.76,1527.3889,1601134507.14,0.376,7.36
1601134516.76,1527.38793,1601134516.97,0.206,7.24
1601134526.76,1527.38594,1601134526.78,0.016,7.09
1601134536.76,1527.38483,1601134536.61,-0.154,7.0
1601134546.76,1527.38458,1601134546.43,-0.334,6.93
1601134556.76,1527.38362,1601134556.25,-0.514,6.9
1601134566.76,1527.38328,1601134567.16,0.396,6.86
1601134576.76,1527.38298,1601134576.98,0.216,6.83
1601134586.76,1527.38264,1601134586.81,0.046,6.8
1601134596.76,1527.38268,1601134596.62,-0.144,6.79
1601134606.76,1527.38154,1601134606.44,-0.324,6.77
1601134616.76,1527.38182,1601134616.27,-0.494,6.74
1601134626.76,1527.38141,1601134627.18,0.416,6.73
1601134636.76,1527.38152,1601134637.0,0.236,6.69
1601134646.76,1527.38155,1601134646.82,0.056,6.67
1601134656.76,1527.38092,1601134656.64,-0.124,6.65
1601134666.76,1527.3814,1601134666.46,-0.304,6.67
1601134676.76,1527.38186,1601134676.29,-0.474,6.65
1601134686.76,1527.38047,1601134687.19,0.426,6.68
1601134696.76,1527.38194,1601134697.02,0.256,6.67
1601134706.76,1527.38206,1601134706.84,0.076,6.67
1601134716.76,1527.38114,1601134716.66,-0.104,6.63
1601134726.76,1527.38084,1601134726.48,-0.284,6.58
1601134736.76,1527.38105,1601134736.3,-0.464,6.56
1601134746.76,1527.37963,1601134747.22,0.456,6.47
1601134756.76,1527.37978,1601134757.03,0.266,6.51
1601134766.76,1527.37893,1601134766.86,0.096,6.5
1601134776.76,1527.37868,1601134776.68,-0.084,6.42
1601134786.76,1527.3782,1601134786.49,-0.274,6.42
1601134796.76,1527.37794,1601134796.32,-0.444,6.43
1601134806.76,1527.37763,1601134807.23,0.466,6.43
1601134816.76,1527.37877,1601134817.05,0.286,6.39
1601134826.76,1527.3778,1601134826.87,0.106,6.38
1601134836.76,1527.37817,1601134836.7,-0.064,6.35
1601134846.76,1527.37749,1601134846.51,-0.254,6.33
1601134856.76,1527.37846,1601134856.34,-0.424,6.35
1601134866.76,1527.3782,1601134867.25,0.486,6.33
1601134876.76,1527.37768,1601134877.07,0.306,6.35
1601134886.76,1527.37883,1601134886.9,0.136,6.37
1601134896.76,1527.37884,1601134896.72,-0.044,6.37
1601134906.76,1527.37875,1601134906.55,-0.214,6.38
1601134916.76,1527.37793,1601134916.35,-0.414,6.32
1601134926.76,1527.37814,1601134927.26,0.496,6.31
1601134936.76,1527.37945,1601134937.09,0.326,6.3
1601134946.76,1527.37782,1601134946.91,0.146,6.3
1601134956.76,1527.3766,1601134956.73,-0.034,6.24
1601134966.76,1527.3766,1601134966.55,-0.214,6.2
1601134976.76,1527.37621,1601134976.37,-0.394,6.15
1601134986.76,1527.37751,1601134987.28,0.516,6.08
1601134996.76,1527.37552,1601134997.11,0.346,6.1
1601135006.76,1527.3767,1601135006.93,0.166,6.09
1601135016.76,1527.37552,1601135016.75,-0.014,6.15
1601135026.76,1527.37554,1601135026.57,-0.194,6.14
1601135036.76,1527.37564,1601135036.39,-0.374,6.13
1601135046.76,1527.37519,1601135047.3,0.536,6.11
1601135056.76,1527.37479,1601135057.12,0.356,6.12
1601135066.76,1527.37555,1601135066.95,0.186,6.02
1601135076.76,1527.37427,1601135076.77,0.006,6.04
1601135086.76,1527.3758,1601135086.59,-0.174,6.02
1601135096.76,1527.37423,1601135096.41,-0.354,5.95
1601135106.76,1527.374,1601135106.23,-0.534,5.95
1601135116.76,1527.37404,1601135117.14,0.376,5.94
1601135126.76,1527.37367,1601135126.96,0.196,5.86
1601135136.76,1527.37256,1601135136.78,0.016,5.86
1601135146.76,1527.37339,1601135146.62,-0.144,5.92
1601135156.76,1527.37405,1601135156.43,-0.334,5.92
1601135166.76,1527.37425,1601135166.25,-0.514,5.94
1601135176.76,1527.37393,1601135177.17,0.406,5.96
1601135186.76,1527.37465,1601135186.98,0.216,6.01
1601135196.76,1527.37446,1601135196.81,0.046,6.0
1601135206.76,1527.37448,1601135206.63,-0.134,5.96
1601135216.76,1527.37226,1601135216.46,-0.304,5.87
1601135226.76,1527.37285,1601135226.28,-0.484,5.84
1601135236.76,1527.37185,1601135237.19,0.426,5.82
1601135246.76,1527.37329,1601135247.01,0.246,5.81
1601135256.76,1527.37187,1601135256.84,0.076,5.83
1601135266.76,1527.37178,1601135266.65,-0.114,5.8
1601135276.76,1527.37077,1601135276.48,-0.284,5.74
1601135286.76,1527.3706,1601135286.3,-0.464,5.7
1601135296.76,1527.37054,1601135297.21,0.446,5.69
1601135306.76,1527.37167,1601135307.04,0.276,5.68
1601135316.76,1527.37026,1601135316.86,0.096,5.66
1601135326.76,1527.3701,1601135326.68,-0.084,5.61
1601135336.76,1527.36964,1601135336.51,-0.254,5.62
1601135346.76,1527.36998,1601135346.32,-0.444,5.62
1601135356.76,1527.37108,1601135357.24,0.476,5.63
1601135366.76,1527.3709,1601135367.06,0.296,5.63
1601135376.76,1527.37084,1601135376.88,0.116,5.63
1601135386.76,1527.37088,1601135386.71,-0.054,5.64
1601135396.76,1527.37185,1601135396.53,-0.234,5.67
1601135406.76,1527.37085,1601135406.35,-0.414,5.64
1601135416.76,1527.37021,1601135417.27,0.506,5.62
1601135426.76,1527.36998,1601135427.09,0.326,5.55
1601135436.76,1527.36976,1601135436.91,0.146,5.54
1601135446.76,1527.37018,1601135446.73,-0.034,5.58
1601135456.76,1527.36979,1601135456.56,-0.204,5.58
1601135466.76,1527.36988,1601135466.38,-0.384,5.54
1601135476.76,1527.37011,1601135477.29,0.526,5.52
1601135486.76,1527.36928,1601135487.11,0.346,5.47
1601135496.76,1527.36804,1601135496.94,0.176,5.46
1601135506.76,1527.36854,1601135506.75,-0.014,5.45
1601135516.76,1527.36889,1601135516.58,-0.184,5.41
1601135526.76,1527.36826,1601135526.4,-0.364,5.44
1601135536.76,1527.36897,1601135536.22,-0.544,5.38
1601135546.76,1527.367,1601135547.14,0.376,5.33
1601135556.76,1527.36577,1601135556.96,0.196,5.29
1601135566.76,1527.36614,1601135566.78,0.016,5.29
1601135576.76,1527.36594,1601135576.6,-0.164,5.24
1601135586.76,1527.36679,1601135586.43,-0.334,5.24
1601135596.76,1527.36466,1601135596.25,-0.514,5.18
1601135606.76,1527.36677,1601135607.16,0.396,5.17
1601135616.76,1527.36588,1601135616.98,0.216,5.21
1601135626.76,1527.36538,1601135626.8,0.036,5.18
1601135636.76,1527.36598,1601135636.63,-0.134,5.21
1601135646.76,1527.366,1601135646.45,-0.314,5.15
1601135656.76,1527.36447,1601135656.28,-0.484,5.16
