UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601134196.76,1562.49212,1601134197.11,0.346,18.73
1601134206.76,1562.49072,1601134206.95,0.186,18.69
1601134216.76,1562.48964,1601134216.78,0.016,18.64
1601134226.76,1562.49021,1601134226.62,-0.144,18.58
1601134236.76,1562.49013,1601134236.45,-0.314,18.55
1601134246.76,1562.4895,1601134246.29,-0.474,18.53
1601134256.76,1562.4883,1601134257.21,0.446,18.53
1601134266.76,1562.48768,1601134267.05,0.286,18.5
1601134276.76,1562.48885,1601134276.88,0.116,18.46
1601134286.76,1562.48805,1601134286.71,-0.054,18.43
1601134296.76,1562.48827,1601134296.55,-0.214,18.4
1601134306.76,1562.48102,1601134306.39,-0.374,17.88
1601134316.76,1562.47167,1601134316.22,-0.544,16.99
1601134326.76,1562.46108,1601134327.14,0.376,16.05
1601134336.76,1562.45259,1601134336.98,0.216,15.24
1601134346.76,1562.44347,1601134346.82,0.056,14.52
1601134356.76,1562.43512,1601134356.65,-0.114,13.75
1601134366.76,1562.426,1601134366.48,-0.284,13.04
1601134376.76,1562.41668,1601134376.32,-0.444,12.18
1601134386.76,1562.40829,1601134387.25,0.486,11.32
1601134396.76,1562.39909,1601134397.09,0.326,10.58
1601134406.76,1562.39078,1601134406.92,0.156,9.83
1601134416.76,1562.38344,1601134416.75,-0.014,9.13
1601134426.76,1562.37527,1601134426.57,-0.194,8.56
1601134436.76,1562.36918,1601134436.4,-0.364,8.03
1601134446.76,1562.36472,1601134446.22,-0.544,7.61
1601134456.76,1562.3618,1601134457.13,0.366,7.25
1601134466.76,1562.36085,1601134466.96,0.196,7.18
1601134476.76,1562.35986,1601134476.77,0.006,7.12
1601134486.76,1562.35798,1601134486.6,-0.164,7.0
1601134496.76,1562.35627,1601134496.42,-0.344,6.91
1601134506.76,1562.3551,1601134506.24,-0.524,6.84
1601134516.76,1562.35424,1601134517.15,0.386,6.76
1601134526.76,1562.35312,1601134526.97,0.206,6.63
1601134536.76,1562.35308,1601134536.79,0.026,6.6
1601134546.76,1562.35125,1601134546.61,-0.154,6.61
1601134556.76,1562.35245,1601134556.44,-0.324,6.6
1601134566.76,1562.35154,1601134566.26,-0.504,6.54
1601134576.76,1562.35156,1601134577.17,0.406,6.54
1601134586.76,1562.35153,1601134587.0,0.236,6.54
1601134596.76,1562.35205,1601134596.82,0.056,6.52
1601134606.76,1562.35252,1601134606.63,-0.134,6.47
1601134616.76,1562.35087,1601134616.46,-0.304,6.46
1601134626.76,1562.35146,1601134626.27,-0.494,6.46
1601134636.76,1562.35088,1601134637.19,0.426,6.42
1601134646.76,1562.35207,1601134647.01,0.246,6.45
1601134656.76,1562.35069,1601134656.83,0.066,6.43
1601134666.76,1562.35054,1601134666.65,-0.114,6.44
1601134676.76,1562.35192,1601134676.47,-0.294,6.4
1601134686.76,1562.35076,1601134686.3,-0.464,6.38
1601134696.76,1562.34994,1601134697.21,0.446,6.37
1601134706.76,1562.35035,1601134707.02,0.256,6.31
1601134716.76,1562.34882,1601134716.85,0.086,6.3
1601134726.76,1562.34848,1601134726.67,-0.094,6.25
1601134736.76,1562.34826,1601134736.49,-0.274,6.21
1601134746.76,1562.34733,1601134746.31,-0.454,6.16
1601134756.76,1562.34732,1601134757.22,0.456,6.1
1601134766.76,1562.34673,1601134767.04,0.276,6.13
1601134776.76,1562.34734,1601134776.86,0.096,6.11
1601134786.76,1562.34722,1601134786.69,-0.074,6.08
1601134796.76,1562.347,1601134796.51,-0.254,6.05
1601134806.76,1562.34669,1601134806.33,-0.434,6.06
1601134816.76,1562.34758,1601134817.24,0.476,6.0
1601134826.76,1562.34571,1601134827.06,0.296,6.0
1601134836.76,1562.34535,1601134836.88,0.116,5.99
1601134846.76,1562.34587,1601134846.7,-0.064,6.0
1601134856.76,1562.34586,1601134856.52,-0.244,5.97
1601134866.76,1562.34486,1601134866.34,-0.424,6.03
1601134876.76,1562.34706,1601134877.25,0.486,6.03
1601134886.76,1562.34738,1601134887.08,0.316,6.04
1601134896.76,1562.34763,1601134896.9,0.136,6.07
1601134906.76,1562.3477,1601134906.72,-0.044,6.07
1601134916.76,1562.34684,1601134916.54,-0.224,6.06
1601134926.76,1562.3476,1601134926.36,-0.404,6.05
1601134936.76,1562.34702,1601134937.27,0.506,6.05
1601134946.76,1562.34728,1601134947.09,0.326,6.03
1601134956.76,1562.34685,1601134956.91,0.146,6.0
1601134966.76,1562.34591,1601134966.74,-0.024,5.94
1601134976.76,1562.34606,1601134976.57,-0.194,5.96
1601134986.76,1562.34594,1601134986.38,-0.384,5.89
1601134996.76,1562.34567,1601134997.3,0.536,5.89
1601135006.76,1562.34493,1601135007.11,0.346,5.85
1601135016.76,1562.34546,1601135016.93,0.166,5.86
1601135026.76,1562.34509,1601135026.76,-0.004,5.85
1601135036.76,1562.34356,1601135036.58,-0.184,5.81
1601135046.76,1562.34383,1601135046.41,-0.354,5.84
1601135056.76,1562.34358,1601135056.23,-0.534,5.8
1601135066.76,1562.34456,1601135067.13,0.366,5.75
1601135076.76,1562.34358,1601135076.96,0.196,5.77
1601135086.76,1562.344,1601135086.78,0.016,5.73
1601135096.76,1562.34311,1601135096.6,-0.164,5.72
1601135106.76,1562.34408,1601135106.42,-0.344,5.71
1601135116.76,1562.34292,1601135116.25,-0.514,5.73
1601135126.76,1562.34272,1601135127.16,0.396,5.68
1601135136.76,1562.3432,1601135136.97,0.206,5.7
1601135146.76,1562.34329,1601135146.8,0.036,5.68
1601135156.76,1562.34253,1601135156.62,-0.144,5.66
1601135166.76,1562.34261,1601135166.45,-0.314,5.67
1601135176.76,1562.34428,1601135176.26,-0.504,5.75
1601135186.76,1562.34431,1601135187.17,0.406,5.74
1601135196.76,1562.34335,1601135196.99,0.226,5.74
1601135206.76,1562.3434,1601135206.82,0.056,5.71
1601135216.76,1562.34283,1601135216.64,-0.124,5.67
1601135226.76,1562.34261,1601135226.46,-0.304,5.58
1601135236.76,1562.34181,1601135236.29,-0.474,5.6
1601135246.76,1562.34117,1601135247.2,0.436,5.53
1601135256.76,1562.34166,1601135257.02,0.256,5.54
1601135266.76,1562.34107,1601135266.85,0.086,5.53
1601135276.76,1562.33979,1601135276.67,-0.094,5.46
1601135286.76,1562.33934,1601135286.49,-0.274,5.46
1601135296.76,1562.33927,1601135296.31,-0.454,5.42
1601135306.76,1562.33899,1601135307.22,0.456,5.4
1601135316.76,1562.3393,1601135317.04,0.276,5.39
1601135326.76,1562.33933,1601135326.87,0.106,5.39
1601135336.76,1562.33939,1601135336.69,-0.074,5.39
1601135346.76,1562.34003,1601135346.52,-0.244,5.37
1601135356.76,1562.339,1601135356.33,-0.434,5.38
1601135366.76,1562.34103,1601135367.25,0.486,5.39
1601135376.76,1562.34086,1601135377.07,0.306,5.38
1601135386.76,1562.34046,1601135386.89,0.126,5.39
1601135396.76,1562.34045,1601135396.72,-0.044,5.45
1601135406.76,1562.34,1601135406.53,-0.234,5.45
