UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601358313.64,1537.4517,1601358314.14,0.504,17.37
1601358323.64,1537.45119,1601358324.0,0.364,17.29
1601358333.64,1537.44967,1601358333.85,0.214,17.21
1601358343.64,1537.44926,1601358343.7,0.064,17.12
1601358353.64,1537.44775,1601358353.55,-0.086,17.13
1601358363.64,1537.44778,1601358363.4,-0.236,17.04
1601358373.64,1537.44685,1601358373.25,-0.386,16.91
1601358383.64,1537.44545,1601358383.1,-0.536,16.88
1601358393.64,1537.44652,1601358394.05,0.414,16.85
1601358403.64,1537.445,1601358403.9,0.264,16.86
1601358413.64,1537.44652,1601358413.75,0.114,16.88
1601358423.64,1537.44494,1601358423.6,-0.036,16.63
1601358433.64,1537.43842,1601358433.46,-0.176,16.12
1601358443.64,1537.43164,1601358443.31,-0.326,15.45
1601358453.64,1537.4256,1601358453.16,-0.476,14.84
1601358463.64,1537.41905,1601358464.11,0.474,14.14
1601358473.64,1537.41211,1601358473.96,0.324,13.5
1601358483.64,1537.4052,1601358483.81,0.174,12.83
1601358493.64,1537.39707,1601358493.67,0.034,12.23
1601358503.64,1537.39086,1601358503.52,-0.116,11.48
1601358513.64,1537.38093,1601358513.37,-0.266,10.81
1601358523.64,1537.37353,1601358523.22,-0.416,10.05
1601358533.64,1537.36698,1601358534.16,0.524,9.56
1601358543.64,1537.3615,1601358543.99,0.354,9.14
1601358553.64,1537.35775,1601358553.84,0.204,8.77
1601358563.64,1537.35362,1601358563.67,0.034,8.38
1601358573.64,1537.34919,1601358573.52,-0.116,8.11
1601358583.64,1537.34779,1601358583.36,-0.276,7.98
1601358593.64,1537.34779,1601358593.2,-0.436,8.05
1601358603.64,1537.34793,1601358604.13,0.494,8.09
1601358613.64,1537.34684,1601358613.97,0.334,8.09
1601358623.64,1537.3458,1601358623.81,0.174,7.99
1601358633.64,1537.34555,1601358633.65,0.014,7.88
1601358643.64,1537.34343,1601358643.49,-0.146,7.82
1601358653.64,1537.34358,1601358653.33,-0.306,7.73
1601358663.64,1537.34232,1601358663.17,-0.466,7.64
1601358673.64,1537.34214,1601358674.1,0.464,7.61
1601358683.64,1537.34283,1601358683.94,0.304,7.67
1601358693.64,1537.34166,1601358693.79,0.154,7.6
1601358703.64,1537.34138,1601358703.62,-0.016,7.53
1601358713.64,1537.34132,1601358713.46,-0.176,7.5
1601358723.64,1537.33928,1601358723.3,-0.336,7.43
1601358733.64,1537.33992,1601358733.15,-0.486,7.37
1601358743.64,1537.33769,1601358744.08,0.444,7.19
1601358753.64,1537.33662,1601358753.92,0.284,7.03
1601358763.64,1537.33519,1601358763.76,0.124,6.89
1601358773.64,1537.33393,1601358773.6,-0.036,6.79
1601358783.64,1537.33238,1601358783.44,-0.196,6.68
1601358793.64,1537.33134,1601358793.28,-0.356,6.62
1601358803.64,1537.32991,1601358803.12,-0.516,6.56
1601358813.64,1537.32961,1601358814.05,0.414,6.51
1601358823.64,1537.32989,1601358823.89,0.254,6.47
1601358833.64,1537.32947,1601358833.73,0.094,6.46
1601358843.64,1537.3288,1601358843.57,-0.066,6.42
1601358853.64,1537.32787,1601358853.41,-0.226,6.34
1601358863.64,1537.327,1601358863.25,-0.386,6.25
1601358873.64,1537.32717,1601358874.18,0.544,6.15
1601358883.64,1537.32723,1601358884.02,0.384,6.18
1601358893.64,1537.32742,1601358893.86,0.224,6.12
1601358903.64,1537.3255,1601358903.7,0.064,6.09
1601358913.64,1537.32564,1601358913.54,-0.096,6.04
1601358923.64,1537.32565,1601358923.38,-0.256,6.05
1601358933.64,1537.32502,1601358933.23,-0.406,6.01
1601358943.64,1537.32431,1601358944.16,0.524,5.96
1601358953.64,1537.32469,1601358954.0,0.364,5.9
1601358963.64,1537.32408,1601358963.84,0.204,5.96
1601358973.64,1537.3243,1601358973.68,0.044,5.98
1601358983.64,1537.32409,1601358983.52,-0.116,5.88
1601358993.64,1537.32375,1601358993.36,-0.276,5.91
1601359003.64,1537.32389,1601359003.2,-0.436,5.97
1601359013.64,1537.32427,1601359014.14,0.504,5.92
1601359023.64,1537.32408,1601359023.98,0.344,5.89
1601359033.64,1537.32204,1601359033.82,0.184,5.86
1601359043.64,1537.32394,1601359043.66,0.024,5.89
1601359053.64,1537.32375,1601359053.5,-0.136,5.9
1601359063.64,1537.32277,1601359063.34,-0.296,5.87
1601359073.64,1537.32352,1601359073.18,-0.456,5.85
1601359083.64,1537.32216,1601359084.11,0.474,5.8
1601359093.64,1537.32249,1601359093.95,0.314,5.79
1601359103.64,1537.32174,1601359103.79,0.154,5.72
1601359113.64,1537.32161,1601359113.63,-0.006,5.74
1601359123.64,1537.32239,1601359123.48,-0.156,5.62
1601359133.64,1537.32249,1601359133.32,-0.316,5.68
1601359143.64,1537.32198,1601359143.16,-0.476,5.65
1601359153.64,1537.32159,1601359154.09,0.454,5.67
1601359163.64,1537.31965,1601359163.93,0.294,5.67
1601359173.64,1537.32079,1601359173.77,0.134,5.63
1601359183.64,1537.32105,1601359183.62,-0.016,5.62
1601359193.64,1537.31962,1601359193.45,-0.186,5.56
1601359203.64,1537.32036,1601359203.3,-0.336,5.55
1601359213.64,1537.31984,1601359213.14,-0.496,5.51
1601359223.64,1537.32027,1601359224.07,0.434,5.51
1601359233.64,1537.32089,1601359233.91,0.274,5.46
1601359243.64,1537.31959,1601359243.75,0.114,5.46
1601359253.64,1537.31978,1601359253.59,-0.046,5.47
1601359263.64,1537.31777,1601359263.44,-0.196,5.49
1601359273.64,1537.31899,1601359273.28,-0.356,5.43
1601359283.64,1537.31879,1601359283.12,-0.516,5.44
1601359293.64,1537.31985,1601359294.05,0.414,5.46
1601359303.64,1537.31912,1601359303.89,0.254,5.41
1601359313.64,1537.31978,1601359313.73,0.094,5.44
1601359323.64,1537.31906,1601359323.57,-0.066,5.33
1601359333.64,1537.31828,1601359333.41,-0.226,5.37
1601359343.64,1537.31841,1601359343.26,-0.376,5.37
1601359353.64,1537.31764,1601359353.1,-0.536,5.35
1601359363.64,1537.31909,1601359364.03,0.394,5.36
1601359373.64,1537.31816,1601359373.87,0.234,5.28
1601359383.64,1537.31713,1601359383.71,0.074,5.26
1601359393.64,1537.3174,1601359393.56,-0.076,5.27
1601359403.64,1537.31731,1601359403.4,-0.236,5.25
1601359413.64,1537.31626,1601359413.24,-0.396,5.22
1601359423.64,1537.3169,1601359424.17,0.534,5.28
1601359433.64,1537.3169,1601359434.01,0.374,5.31
1601359443.64,1537.31788,1601359443.85,0.214,5.24
