UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601358313.64,1552.44424,1601358313.59,-0.046,18.2
1601358323.64,1552.44244,1601358323.45,-0.186,18.13
1601358333.64,1552.44034,1601358333.3,-0.336,18.01
1601358343.64,1552.43997,1601358343.15,-0.486,18.0
1601358353.64,1552.43942,1601358354.1,0.464,17.91
1601358363.64,1552.43874,1601358363.95,0.314,17.82
1601358373.64,1552.438,1601358373.8,0.164,17.78
1601358383.64,1552.43764,1601358383.65,0.014,17.7
1601358393.64,1552.43725,1601358393.5,-0.136,17.65
1601358403.64,1552.43519,1601358403.35,-0.286,17.65
1601358413.64,1552.43634,1601358413.2,-0.436,17.64
1601358423.64,1552.43469,1601358424.15,0.514,17.19
1601358433.64,1552.428,1601358434.0,0.364,16.5
1601358443.64,1552.41932,1601358443.86,0.224,15.79
1601358453.64,1552.41126,1601358453.71,0.074,14.96
1601358463.64,1552.40428,1601358463.56,-0.076,14.38
1601358473.64,1552.39794,1601358473.41,-0.226,13.72
1601358483.64,1552.392,1601358483.26,-0.376,13.16
1601358493.64,1552.38519,1601358493.12,-0.516,12.66
1601358503.64,1552.37729,1601358504.07,0.434,11.77
1601358513.64,1552.37052,1601358513.92,0.284,11.11
1601358523.64,1552.3617,1601358523.76,0.124,10.44
1601358533.64,1552.35479,1601358533.61,-0.026,9.97
1601358543.64,1552.34976,1601358543.45,-0.186,9.54
1601358553.64,1552.34594,1601358553.29,-0.346,9.23
1601358563.64,1552.34118,1601358563.13,-0.506,8.69
1601358573.64,1552.33369,1601358574.06,0.424,8.18
1601358583.64,1552.32892,1601358583.9,0.264,7.86
1601358593.64,1552.32583,1601358593.74,0.104,7.57
1601358603.64,1552.32304,1601358603.58,-0.056,7.38
1601358613.64,1552.32074,1601358613.42,-0.216,7.25
1601358623.64,1552.3192,1601358623.26,-0.376,7.06
1601358633.64,1552.31709,1601358633.1,-0.536,6.88
1601358643.64,1552.31441,1601358644.03,0.394,6.75
1601358653.64,1552.31411,1601358653.88,0.244,6.66
1601358663.64,1552.31313,1601358663.72,0.084,6.58
1601358673.64,1552.31282,1601358673.56,-0.076,6.6
1601358683.64,1552.31214,1601358683.39,-0.246,6.51
1601358693.64,1552.31223,1601358693.23,-0.406,6.39
1601358703.64,1552.31073,1601358704.17,0.534,6.36
1601358713.64,1552.31054,1601358714.01,0.374,6.26
1601358723.64,1552.31082,1601358723.85,0.214,6.22
1601358733.64,1552.30975,1601358733.69,0.054,6.24
1601358743.64,1552.30989,1601358743.53,-0.106,6.28
1601358753.64,1552.31035,1601358753.37,-0.266,6.32
