UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601358313.64,1532.46594,1601358313.97,0.334,18.0
1601358323.64,1532.46367,1601358323.81,0.174,17.92
1601358333.64,1532.46271,1601358333.67,0.034,17.72
1601358343.64,1532.46314,1601358343.52,-0.116,17.71
1601358353.64,1532.46113,1601358353.37,-0.266,17.61
1601358363.64,1532.46044,1601358363.22,-0.416,17.51
1601358373.64,1532.46078,1601358374.17,0.534,17.45
1601358383.64,1532.46013,1601358384.02,0.384,17.35
1601358393.64,1532.46086,1601358393.87,0.234,17.35
1601358403.64,1532.46026,1601358403.72,0.084,17.35
1601358413.64,1532.45921,1601358413.57,-0.066,17.3
1601358423.64,1532.45045,1601358423.42,-0.216,17.02
1601358433.64,1532.43625,1601358433.28,-0.356,16.52
1601358443.64,1532.42548,1601358443.13,-0.506,15.69
1601358453.64,1532.42217,1601358454.08,0.444,14.99
1601358463.64,1532.41225,1601358463.93,0.294,14.47
1601358473.64,1532.40589,1601358473.78,0.144,13.92
1601358483.64,1532.39776,1601358483.64,0.004,13.11
1601358493.64,1532.38764,1601358493.49,-0.146,12.48
1601358503.64,1532.38245,1601358503.34,-0.296,11.82
1601358513.64,1532.37611,1601358513.19,-0.446,11.29
1601358523.64,1532.36837,1601358524.13,0.494,10.42
1601358533.64,1532.36261,1601358533.97,0.334,9.97
1601358543.64,1532.35763,1601358543.81,0.174,9.37
1601358553.64,1532.3558,1601358553.65,0.014,9.02
1601358563.64,1532.35299,1601358563.5,-0.136,8.61
1601358573.64,1532.35335,1601358573.34,-0.296,8.52
1601358583.64,1532.35693,1601358583.18,-0.456,8.44
1601358593.64,1532.35765,1601358594.11,0.474,8.44
1601358603.64,1532.35899,1601358603.95,0.314,8.33
1601358613.64,1532.35608,1601358613.79,0.154,8.3
1601358623.64,1532.35539,1601358623.63,-0.006,8.11
1601358633.64,1532.35496,1601358633.47,-0.166,8.05
1601358643.64,1532.35322,1601358643.31,-0.326,7.95
1601358653.64,1532.35172,1601358653.15,-0.486,7.77
1601358663.64,1532.35098,1601358664.08,0.444,7.67
1601358673.64,1532.35102,1601358673.92,0.284,7.58
1601358683.64,1532.3511,1601358683.76,0.124,7.51
1601358693.64,1532.35109,1601358693.6,-0.036,7.46
1601358703.64,1532.35035,1601358703.44,-0.196,7.41
1601358713.64,1532.34832,1601358713.28,-0.356,7.29
1601358723.64,1532.34694,1601358723.12,-0.516,7.22
1601358733.64,1532.34712,1601358734.06,0.424,7.17
1601358743.64,1532.34496,1601358743.9,0.264,7.06
1601358753.64,1532.34296,1601358753.74,0.104,6.98
1601358763.64,1532.34258,1601358763.58,-0.056,6.85
1601358773.64,1532.34079,1601358773.42,-0.216,6.64
1601358783.64,1532.34122,1601358783.26,-0.376,6.54
1601358793.64,1532.34085,1601358793.1,-0.536,6.5
1601358803.64,1532.34152,1601358804.03,0.394,6.47
1601358813.64,1532.3401,1601358813.87,0.234,6.46
1601358823.64,1532.34002,1601358823.71,0.074,6.37
1601358833.64,1532.33999,1601358833.55,-0.086,6.35
1601358843.64,1532.33907,1601358843.39,-0.246,6.28
1601358853.64,1532.33713,1601358853.23,-0.406,6.22
1601358863.64,1532.33772,1601358864.16,0.524,6.13
1601358873.64,1532.3359,1601358874.0,0.364,6.12
1601358883.64,1532.33656,1601358883.84,0.204,6.04
1601358893.64,1532.33824,1601358893.68,0.044,6.04
1601358903.64,1532.33738,1601358903.52,-0.116,5.94
1601358913.64,1532.3364,1601358913.36,-0.276,6.04
1601358923.64,1532.33713,1601358923.2,-0.436,5.98
1601358933.64,1532.33454,1601358934.14,0.504,5.9
1601358943.64,1532.33448,1601358943.98,0.344,5.81
1601358953.64,1532.33516,1601358953.82,0.184,5.79
1601358963.64,1532.33536,1601358963.66,0.024,5.83
