UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601358313.64,1535.22588,1601358313.99,0.354,17.92
1601358323.64,1535.22501,1601358323.83,0.194,17.85
1601358333.64,1535.22431,1601358333.69,0.054,17.79
1601358343.64,1535.22307,1601358343.54,-0.096,17.73
1601358353.64,1535.22327,1601358353.39,-0.246,17.67
1601358363.64,1535.22254,1601358363.24,-0.396,17.6
1601358373.64,1535.2217,1601358374.18,0.544,17.55
1601358383.64,1535.22045,1601358384.03,0.394,17.49
1601358393.64,1535.22046,1601358393.89,0.254,17.44
1601358403.64,1535.21956,1601358403.74,0.104,17.42
1601358413.64,1535.21987,1601358413.59,-0.046,17.4
1601358423.64,1535.21775,1601358423.44,-0.196,17.09
1601358433.64,1535.21119,1601358433.3,-0.336,16.42
1601358443.64,1535.20294,1601358443.15,-0.486,15.6
1601358453.64,1535.19553,1601358454.09,0.454,14.85
1601358463.64,1535.18793,1601358463.94,0.304,14.24
1601358473.64,1535.18147,1601358473.8,0.164,13.6
1601358483.64,1535.17297,1601358483.65,0.014,12.85
1601358493.64,1535.16681,1601358493.5,-0.136,12.17
1601358503.64,1535.15958,1601358503.36,-0.276,11.51
1601358513.64,1535.15146,1601358513.2,-0.436,10.83
1601358523.64,1535.14407,1601358524.15,0.514,10.08
1601358533.64,1535.13624,1601358533.99,0.354,9.48
1601358543.64,1535.13087,1601358543.83,0.194,8.95
1601358553.64,1535.12723,1601358553.67,0.034,8.52
1601358563.64,1535.12082,1601358563.51,-0.126,8.15
1601358573.64,1535.11762,1601358573.36,-0.276,7.88
1601358583.64,1535.11613,1601358583.2,-0.436,7.79
1601358593.64,1535.11532,1601358594.12,0.484,7.73
1601358603.64,1535.11434,1601358603.97,0.334,7.65
1601358613.64,1535.11269,1601358613.81,0.174,7.57
1601358623.64,1535.11174,1601358623.65,0.014,7.4
1601358633.64,1535.11013,1601358633.48,-0.156,7.35
1601358643.64,1535.1089,1601358643.32,-0.316,7.2
1601358653.64,1535.10693,1601358653.16,-0.476,7.06
1601358663.64,1535.10664,1601358664.1,0.464,6.99
1601358673.64,1535.10659,1601358673.94,0.304,6.95
1601358683.64,1535.10568,1601358683.78,0.144,6.92
1601358693.64,1535.10621,1601358693.62,-0.016,6.93
1601358703.64,1535.10516,1601358703.46,-0.176,6.88
1601358713.64,1535.10393,1601358713.3,-0.336,6.77
1601358723.64,1535.10353,1601358723.14,-0.496,6.74
1601358733.64,1535.10235,1601358734.08,0.444,6.67
1601358743.64,1535.10134,1601358743.92,0.284,6.6
1601358753.64,1535.1012,1601358753.75,0.114,6.45
1601358763.64,1535.10029,1601358763.59,-0.046,6.39
1601358773.64,1535.09838,1601358773.43,-0.206,6.31
1601358783.64,1535.0976,1601358783.27,-0.366,6.24
1601358793.64,1535.09688,1601358793.12,-0.516,6.17
1601358803.64,1535.09686,1601358804.05,0.414,6.15
1601358813.64,1535.0966,1601358813.89,0.254,6.12
1601358823.64,1535.09645,1601358823.73,0.094,6.1
1601358833.64,1535.09595,1601358833.56,-0.076,6.04
1601358843.64,1535.0942,1601358843.41,-0.226,5.98
1601358853.64,1535.09487,1601358853.25,-0.386,5.98
1601358863.64,1535.09398,1601358864.18,0.544,5.9
1601358873.64,1535.09353,1601358874.02,0.384,5.82
1601358883.64,1535.0927,1601358883.86,0.224,5.81
1601358893.64,1535.09316,1601358893.7,0.064,5.75
1601358903.64,1535.09248,1601358903.54,-0.096,5.76
1601358913.64,1535.09258,1601358913.38,-0.256,5.71
1601358923.64,1535.09167,1601358923.22,-0.416,5.71
1601358933.64,1535.09187,1601358934.15,0.514,5.66
1601358943.64,1535.0918,1601358943.99,0.354,5.62
1601358953.64,1535.09107,1601358953.84,0.204,5.59
1601358963.64,1535.09001,1601358963.67,0.034,5.59
1601358973.64,1535.09003,1601358973.52,-0.116,5.56
1601358983.64,1535.09031,1601358983.36,-0.276,5.57
1601358993.64,1535.08993,1601358993.2,-0.436,5.56
1601359003.64,1535.08971,1601359004.14,0.504,5.55
1601359013.64,1535.0902,1601359013.97,0.334,5.52
1601359023.64,1535.08938,1601359023.81,0.174,5.49
1601359033.64,1535.08877,1601359033.65,0.014,5.47
1601359043.64,1535.089,1601359043.5,-0.136,5.47
