UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601358313.64,1555.18065,1601358313.61,-0.026,17.95
1601358323.64,1555.17982,1601358323.46,-0.176,17.76
1601358333.64,1555.17929,1601358333.32,-0.316,17.71
1601358343.64,1555.17771,1601358343.17,-0.466,17.62
1601358353.64,1555.17609,1601358354.11,0.474,17.55
1601358363.64,1555.17721,1601358363.97,0.334,17.48
1601358373.64,1555.17609,1601358373.82,0.184,17.4
1601358383.64,1555.17508,1601358383.67,0.034,17.37
1601358393.64,1555.17425,1601358393.52,-0.116,17.3
1601358403.64,1555.17261,1601358403.37,-0.266,17.26
1601358413.64,1555.1727,1601358413.22,-0.416,17.25
1601358423.64,1555.17053,1601358424.17,0.534,16.74
1601358433.64,1555.1637,1601358434.02,0.384,15.93
1601358443.64,1555.1556,1601358443.88,0.244,15.02
1601358453.64,1555.14622,1601358453.72,0.084,14.15
1601358463.64,1555.1393,1601358463.58,-0.056,13.49
1601358473.64,1555.13096,1601358473.43,-0.206,12.79
1601358483.64,1555.1233,1601358483.28,-0.356,12.13
1601358493.64,1555.11638,1601358493.13,-0.506,11.39
1601358503.64,1555.10899,1601358504.08,0.444,10.54
1601358513.64,1555.09945,1601358513.93,0.294,9.89
1601358523.64,1555.0924,1601358523.78,0.144,9.23
1601358533.64,1555.08465,1601358533.63,-0.006,8.58
1601358543.64,1555.07826,1601358543.47,-0.166,8.19
1601358553.64,1555.07362,1601358553.3,-0.336,7.82
1601358563.64,1555.06858,1601358563.15,-0.486,7.37
1601358573.64,1555.06613,1601358574.08,0.444,7.17
1601358583.64,1555.06256,1601358583.92,0.284,7.01
1601358593.64,1555.06127,1601358593.76,0.124,6.97
1601358603.64,1555.06073,1601358603.6,-0.036,6.88
1601358613.64,1555.06057,1601358613.44,-0.196,6.82
1601358623.64,1555.05726,1601358623.28,-0.356,6.69
1601358633.64,1555.0557,1601358633.12,-0.516,6.6
1601358643.64,1555.05496,1601358644.05,0.414,6.5
1601358653.64,1555.054,1601358653.89,0.254,6.42
1601358663.64,1555.05473,1601358663.73,0.094,6.38
1601358673.64,1555.05347,1601358673.58,-0.056,6.34
1601358683.64,1555.05309,1601358683.41,-0.226,6.34
1601358693.64,1555.0528,1601358693.25,-0.386,6.34
1601358703.64,1555.05262,1601358703.1,-0.536,6.28
1601358713.64,1555.05181,1601358714.02,0.384,6.14
1601358723.64,1555.05036,1601358723.87,0.234,6.17
1601358733.64,1555.05127,1601358733.71,0.074,6.18
1601358743.64,1555.05002,1601358743.55,-0.086,6.12
1601358753.64,1555.05094,1601358753.39,-0.246,6.14
1601358763.64,1555.04896,1601358763.23,-0.406,6.02
1601358773.64,1555.04988,1601358774.16,0.524,6.0
1601358783.64,1555.04944,1601358784.0,0.364,5.94
1601358793.64,1555.04885,1601358793.84,0.204,5.92
1601358803.64,1555.04848,1601358803.68,0.044,5.93
1601358813.64,1555.04805,1601358813.52,-0.116,5.88
1601358823.64,1555.04688,1601358823.36,-0.276,5.82
1601358833.64,1555.04771,1601358833.21,-0.426,5.78
1601358843.64,1555.04604,1601358844.13,0.494,5.75
1601358853.64,1555.0458,1601358853.98,0.344,5.68
1601358863.64,1555.04595,1601358863.81,0.174,5.68
1601358873.64,1555.04588,1601358873.66,0.024,5.61
1601358883.64,1555.04517,1601358883.5,-0.136,5.62
1601358893.64,1555.04487,1601358893.33,-0.306,5.59
1601358903.64,1555.04479,1601358903.17,-0.466,5.54
1601358913.64,1555.04403,1601358914.11,0.474,5.57
1601358923.64,1555.04456,1601358923.95,0.314,5.54
1601358933.64,1555.04309,1601358933.79,0.154,5.53
1601358943.64,1555.04342,1601358943.63,-0.006,5.45
1601358953.64,1555.04337,1601358953.47,-0.166,5.51
1601358963.64,1555.04341,1601358963.31,-0.326,5.46
1601358973.64,1555.04243,1601358973.16,-0.476,5.47
1601358983.64,1555.04255,1601358984.08,0.444,5.47
1601358993.64,1555.04245,1601358993.92,0.284,5.43
1601359003.64,1555.042,1601359003.76,0.124,5.41
1601359013.64,1555.0427,1601359013.6,-0.036,5.39
1601359023.64,1555.04218,1601359023.45,-0.186,5.37
1601359033.64,1555.04184,1601359033.3,-0.336,5.34
1601359043.64,1555.04198,1601359043.13,-0.506,5.32
1601359053.64,1555.04207,1601359054.07,0.434,5.33
1601359063.64,1555.04183,1601359063.91,0.274,5.34
1601359073.64,1555.04187,1601359073.75,0.114,5.39
1601359083.64,1555.04224,1601359083.59,-0.046,5.38
1601359093.64,1555.0421,1601359093.43,-0.206,5.36
1601359103.64,1555.04147,1601359103.26,-0.376,5.33
1601359113.64,1555.04209,1601359113.1,-0.536,5.29
1601359123.64,1555.04184,1601359124.04,0.404,5.28
1601359133.64,1555.04168,1601359133.88,0.244,5.27
1601359143.64,1555.04113,1601359143.72,0.084,5.2
1601359153.64,1555.04308,1601359153.57,-0.066,5.23
1601359163.64,1555.03905,1601359163.41,-0.226,5.18
1601359173.64,1555.0407,1601359173.25,-0.386,5.17
1601359183.64,1555.03989,1601359184.18,0.544,5.11
1601359193.64,1555.03951,1601359194.02,0.384,5.07
1601359203.64,1555.03933,1601359203.87,0.234,5.06
1601359213.64,1555.03913,1601359213.7,0.064,5.06
1601359223.64,1555.04022,1601359223.54,-0.096,5.01
1601359233.64,1555.03868,1601359233.38,-0.256,5.03
1601359243.64,1555.03931,1601359243.23,-0.406,5.01
1601359253.64,1555.0397,1601359254.16,0.524,5.03
1601359263.64,1555.03868,1601359264.0,0.364,4.99
1601359273.64,1555.03911,1601359273.84,0.204,4.97
1601359283.64,1555.03849,1601359283.68,0.044,4.93
1601359293.64,1555.03721,1601359293.52,-0.116,4.89
1601359303.64,1555.03704,1601359303.37,-0.266,4.83
1601359313.64,1555.03686,1601359313.21,-0.426,4.79
1601359323.64,1555.03614,1601359324.13,0.494,4.79
1601359333.64,1555.03607,1601359333.98,0.344,4.75
1601359343.64,1555.03569,1601359343.82,0.184,4.72
1601359353.64,1555.03544,1601359353.66,0.024,4.72
1601359363.64,1555.03511,1601359363.5,-0.136,4.68
1601359373.64,1555.03555,1601359373.34,-0.296,4.66
1601359383.64,1555.03487,1601359383.19,-0.446,4.67
1601359393.64,1555.03437,1601359394.12,0.484,4.62
1601359403.64,1555.03474,1601359403.97,0.334,4.61
1601359413.64,1555.03414,1601359413.81,0.174,4.64
1601359423.64,1555.03456,1601359423.64,0.004,4.64
1601359433.64,1555.03464,1601359433.48,-0.156,4.59
