UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601358313.64,1550.18306,1601358313.44,-0.196,17.56
1601358323.64,1550.18112,1601358323.28,-0.356,17.45
1601358333.64,1550.18095,1601358333.13,-0.506,17.41
1601358343.64,1550.18118,1601358344.08,0.444,17.31
1601358353.64,1550.17879,1601358353.93,0.294,17.23
1601358363.64,1550.17795,1601358363.78,0.144,17.23
1601358373.64,1550.17949,1601358373.63,-0.006,17.18
1601358383.64,1550.1786,1601358383.48,-0.156,17.16
1601358393.64,1550.17869,1601358393.33,-0.306,17.12
1601358403.64,1550.17866,1601358403.19,-0.446,17.05
1601358413.64,1550.1779,1601358414.13,0.494,17.05
1601358423.64,1550.17116,1601358423.98,0.344,16.41
1601358433.64,1550.1597,1601358433.84,0.204,15.44
1601358443.64,1550.14917,1601358443.69,0.054,14.55
1601358453.64,1550.14091,1601358453.55,-0.086,13.76
1601358463.64,1550.13298,1601358463.41,-0.226,13.01
1601358473.64,1550.12528,1601358473.25,-0.386,12.34
1601358483.64,1550.11709,1601358483.11,-0.526,11.57
1601358493.64,1550.10896,1601358494.05,0.414,10.66
1601358503.64,1550.09989,1601358503.9,0.264,9.86
1601358513.64,1550.09316,1601358513.76,0.124,9.16
1601358523.64,1550.0853,1601358523.6,-0.036,8.53
1601358533.64,1550.07815,1601358533.44,-0.196,7.92
1601358543.64,1550.07401,1601358543.28,-0.356,7.55
1601358553.64,1550.07125,1601358553.13,-0.506,7.24
1601358563.64,1550.06779,1601358564.06,0.424,6.9
1601358573.64,1550.06695,1601358573.9,0.264,6.76
1601358583.64,1550.067,1601358583.74,0.104,6.8
1601358593.64,1550.0674,1601358593.58,-0.056,6.84
1601358603.64,1550.0677,1601358603.42,-0.216,6.89
1601358613.64,1550.06655,1601358613.26,-0.376,6.77
1601358623.64,1550.06538,1601358623.1,-0.536,6.71
1601358633.64,1550.06364,1601358634.04,0.404,6.59
1601358643.64,1550.06298,1601358643.87,0.234,6.54
1601358653.64,1550.06294,1601358653.72,0.084,6.48
1601358663.64,1550.06185,1601358663.55,-0.086,6.42
1601358673.64,1550.06276,1601358673.39,-0.246,6.54
1601358683.64,1550.06357,1601358683.23,-0.406,6.52
1601358693.64,1550.06234,1601358694.16,0.524,6.49
1601358703.64,1550.06231,1601358704.0,0.364,6.42
1601358713.64,1550.06139,1601358713.85,0.214,6.39
1601358723.64,1550.06178,1601358723.69,0.054,6.37
1601358733.64,1550.06182,1601358733.53,-0.106,6.38
1601358743.64,1550.06163,1601358743.36,-0.276,6.28
1601358753.64,1550.06038,1601358753.21,-0.426,6.22
1601358763.64,1550.05923,1601358764.14,0.504,6.18
1601358773.64,1550.05858,1601358773.98,0.344,6.08
1601358783.64,1550.05793,1601358783.82,0.184,6.04
1601358793.64,1550.05743,1601358793.66,0.024,6.01
1601358803.64,1550.05692,1601358803.5,-0.136,5.99
1601358813.64,1550.05757,1601358813.34,-0.296,5.98
1601358823.64,1550.05851,1601358823.18,-0.456,5.96
1601358833.64,1550.05596,1601358834.12,0.484,5.87
1601358843.64,1550.05576,1601358843.96,0.324,5.82
1601358853.64,1550.05554,1601358853.79,0.154,5.78
1601358863.64,1550.05513,1601358863.64,0.004,5.79
1601358873.64,1550.05524,1601358873.47,-0.166,5.72
1601358883.64,1550.05452,1601358883.31,-0.326,5.69
1601358893.64,1550.0547,1601358893.16,-0.476,5.69
1601358903.64,1550.05475,1601358904.09,0.454,5.67
1601358913.64,1550.05425,1601358913.93,0.294,5.67
1601358923.64,1550.05407,1601358923.77,0.134,5.62
1601358933.64,1550.05356,1601358933.6,-0.036,5.61
1601358943.64,1550.05244,1601358943.45,-0.186,5.53
1601358953.64,1550.0526,1601358953.29,-0.346,5.56
1601358963.64,1550.05297,1601358963.13,-0.506,5.57
1601358973.64,1550.05308,1601358974.06,0.424,5.57
1601358983.64,1550.05279,1601358983.91,0.274,5.56
1601358993.64,1550.05241,1601358993.75,0.114,5.52
1601359003.64,1550.05248,1601359003.58,-0.056,5.56
1601359013.64,1550.05144,1601359013.43,-0.206,5.51
1601359023.64,1550.0522,1601359023.26,-0.376,5.52
1601359033.64,1550.05158,1601359033.1,-0.536,5.46
1601359043.64,1550.05187,1601359044.04,0.404,5.47
1601359053.64,1550.05191,1601359053.88,0.244,5.46
1601359063.64,1550.0525,1601359063.72,0.084,5.44
1601359073.64,1550.05159,1601359073.56,-0.076,5.52
1601359083.64,1550.05231,1601359083.4,-0.236,5.49
1601359093.64,1550.05281,1601359093.24,-0.396,5.52
1601359103.64,1550.05333,1601359104.17,0.534,5.43
1601359113.64,1550.05143,1601359114.02,0.384,5.41
1601359123.64,1550.05169,1601359123.86,0.224,5.42
1601359133.64,1550.05047,1601359133.7,0.064,5.39
1601359143.64,1550.05125,1601359143.54,-0.096,5.34
1601359153.64,1550.05046,1601359153.38,-0.256,5.32
1601359163.64,1550.04998,1601359163.22,-0.416,5.29
1601359173.64,1550.04878,1601359174.16,0.524,5.26
1601359183.64,1550.04868,1601359183.99,0.354,5.22
1601359193.64,1550.04844,1601359193.84,0.204,5.2
1601359203.64,1550.04852,1601359203.68,0.044,5.16
1601359213.64,1550.04908,1601359213.52,-0.116,5.11
1601359223.64,1550.04939,1601359223.36,-0.276,5.14
1601359233.64,1550.04941,1601359233.21,-0.426,5.15
1601359243.64,1550.05033,1601359244.13,0.494,5.1
1601359253.64,1550.04845,1601359253.97,0.334,5.12
1601359263.64,1550.04748,1601359263.82,0.184,5.1
1601359273.64,1550.04791,1601359273.66,0.024,5.08
1601359283.64,1550.04663,1601359283.5,-0.136,5.01
1601359293.64,1550.04665,1601359293.34,-0.296,4.97
1601359303.64,1550.04576,1601359303.18,-0.456,4.96
1601359313.64,1550.04687,1601359314.13,0.494,4.89
1601359323.64,1550.04583,1601359323.96,0.324,4.92
1601359333.64,1550.04579,1601359333.8,0.164,4.88
1601359343.64,1550.04541,1601359343.64,0.004,4.89
1601359353.64,1550.04514,1601359353.49,-0.146,4.87
1601359363.64,1550.0443,1601359363.33,-0.306,4.81
1601359373.64,1550.04481,1601359373.16,-0.476,4.79
1601359383.64,1550.04432,1601359384.1,0.464,4.79
1601359393.64,1550.04367,1601359393.94,0.304,4.76
1601359403.64,1550.04446,1601359403.78,0.144,4.75
1601359413.64,1550.04388,1601359413.62,-0.016,4.8
1601359423.64,1550.04444,1601359423.46,-0.176,4.79
1601359433.64,1550.04461,1601359433.3,-0.336,4.75
1601359443.64,1550.04497,1601359443.14,-0.496,4.73
1601359453.64,1550.04449,1601359454.08,0.444,4.75
1601359463.64,1550.04452,1601359463.93,0.294,4.72
1601359473.64,1550.04536,1601359473.77,0.134,4.76
1601359483.64,1550.04392,1601359483.6,-0.036,4.7
1601359493.64,1550.04388,1601359493.45,-0.186,4.73
1601359503.64,1550.04382,1601359503.28,-0.356,4.7
1601359513.64,1550.0432,1601359513.12,-0.516,4.69
1601359523.64,1550.04384,1601359524.06,0.424,4.73
1601359533.64,1550.04396,1601359533.9,0.264,4.68
1601359543.64,1550.04324,1601359543.74,0.104,4.66
1601359553.64,1550.0427,1601359553.58,-0.056,4.68
1601359563.64,1550.04527,1601359563.43,-0.206,4.68
1601359573.64,1550.0434,1601359573.26,-0.376,4.64
1601359583.64,1550.04208,1601359583.11,-0.526,4.62
1601359593.64,1550.04219,1601359594.05,0.414,4.65
1601359603.64,1550.0411,1601359603.88,0.244,4.68
1601359613.64,1550.04267,1601359613.73,0.094,4.72
1601359623.64,1550.04339,1601359623.57,-0.066,4.71
1601359633.64,1550.04366,1601359633.41,-0.226,4.72
1601359643.64,1550.04338,1601359643.25,-0.386,4.7
1601359653.64,1550.0442,1601359654.18,0.544,4.68
1601359663.64,1550.0433,1601359664.03,0.394,4.69
1601359673.64,1550.04409,1601359673.87,0.234,4.65
1601359683.64,1550.04363,1601359683.71,0.074,4.67
1601359693.64,1550.04282,1601359693.55,-0.086,4.68
1601359703.64,1550.04367,1601359703.39,-0.246,4.72
1601359713.64,1550.04399,1601359713.23,-0.406,4.69
1601359723.64,1550.04437,1601359724.17,0.534,4.7
1601359733.64,1550.04311,1601359734.01,0.374,4.67
1601359743.64,1550.04373,1601359743.85,0.214,4.7
1601359753.64,1550.04309,1601359753.7,0.064,4.73
1601359763.64,1550.04428,1601359763.53,-0.106,4.71
1601359773.64,1550.04468,1601359773.37,-0.266,4.73
1601359783.64,1550.04356,1601359783.22,-0.416,4.68
1601359793.64,1550.04433,1601359794.16,0.524,4.75
1601359803.64,1550.04453,1601359804.0,0.364,4.75
1601359813.64,1550.04402,1601359813.83,0.194,4.67
1601359823.64,1550.04362,1601359823.68,0.044,4.67
1601359833.64,1550.04365,1601359833.52,-0.116,4.66
1601359843.64,1550.04369,1601359843.36,-0.276,4.66
1601359853.64,1550.04365,1601359853.19,-0.446,4.71
1601359863.64,1550.04307,1601359864.13,0.494,4.68
1601359873.64,1550.04282,1601359873.97,0.334,4.65
1601359883.64,1550.04221,1601359883.82,0.184,4.58
1601359893.64,1550.04369,1601359893.65,0.014,4.66
1601359903.64,1550.04333,1601359903.5,-0.136,4.65
1601359913.64,1550.04375,1601359913.33,-0.306,4.67
1601359923.64,1550.04331,1601359923.18,-0.456,4.69
1601359933.64,1550.04364,1601359934.11,0.474,4.7
1601359943.64,1550.04239,1601359943.95,0.314,4.67
1601359953.64,1550.04327,1601359953.79,0.154,4.67
1601359963.64,1550.04385,1601359963.64,0.004,4.66
1601359973.64,1550.04283,1601359973.48,-0.156,4.67
1601359983.64,1550.04441,1601359983.32,-0.316,4.69
1601359993.64,1550.04375,1601359993.16,-0.476,4.68
1601360003.64,1550.04382,1601360004.1,0.464,4.63
1601360013.64,1550.04405,1601360013.93,0.294,4.66
1601360023.64,1550.04354,1601360023.77,0.134,4.71
1601360033.64,1550.04285,1601360033.62,-0.016,4.67
1601360043.64,1550.04429,1601360043.46,-0.176,4.69
1601360053.64,1550.04357,1601360053.3,-0.336,4.65
1601360063.64,1550.04358,1601360063.14,-0.496,4.63
1601360073.64,1550.04341,1601360074.08,0.444,4.64
1601360083.64,1550.04266,1601360083.92,0.284,4.66
1601360093.64,1550.04291,1601360093.76,0.124,4.66
1601360103.64,1550.04364,1601360103.6,-0.036,4.63
1601360113.64,1550.04301,1601360113.44,-0.196,4.67
1601360123.64,1550.0435,1601360123.28,-0.356,4.68
1601360133.64,1550.04357,1601360133.14,-0.496,4.69
1601360143.64,1550.04309,1601360144.06,0.424,4.66
1601360153.64,1550.04325,1601360153.9,0.264,4.65
1601360163.64,1550.0427,1601360163.74,0.104,4.65
1601360173.64,1550.04355,1601360173.59,-0.046,4.63
1601360183.64,1550.04348,1601360183.42,-0.216,4.64
1601360193.64,1550.04388,1601360193.27,-0.366,4.63
1601360203.64,1550.04264,1601360203.11,-0.526,4.63
1601360213.64,1550.0443,1601360214.04,0.404,4.92
1601360223.64,1550.0645,1601360223.89,0.254,6.59
1601360233.64,1550.08288,1601360233.73,0.094,8.16
1601360243.64,1550.08961,1601360243.57,-0.066,8.7
1601360253.64,1550.08549,1601360253.41,-0.226,8.59
1601360263.64,1550.08434,1601360263.25,-0.386,8.43
1601360273.64,1550.08492,1601360273.09,-0.546,8.49
1601360283.64,1550.08723,1601360284.02,0.384,8.73
1601360293.64,1550.09025,1601360293.87,0.234,8.92
1601360303.64,1550.09166,1601360303.7,0.064,9.0
1601360313.64,1550.09278,1601360313.55,-0.086,9.07
1601360323.64,1550.09116,1601360323.38,-0.256,9.07
1601360333.64,1550.09239,1601360333.23,-0.406,9.04
1601360343.64,1550.09158,1601360344.17,0.534,9.06
1601360353.64,1550.0917,1601360354.0,0.364,9.15
1601360363.64,1550.09298,1601360363.85,0.214,9.19
1601360373.64,1550.09318,1601360373.68,0.044,9.28
1601360383.64,1550.09411,1601360383.52,-0.116,9.31
