UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601358313.64,1527.42904,1601358313.78,0.144,18.25
1601358323.64,1527.42767,1601358323.63,-0.006,18.18
1601358333.64,1527.42603,1601358333.49,-0.146,18.1
1601358343.64,1527.42524,1601358343.34,-0.296,17.92
1601358353.64,1527.42458,1601358353.19,-0.446,17.87
1601358363.64,1527.42383,1601358364.13,0.494,17.8
1601358373.64,1527.42321,1601358373.99,0.354,17.75
1601358383.64,1527.42229,1601358383.84,0.204,17.71
1601358393.64,1527.42244,1601358393.69,0.054,17.62
1601358403.64,1527.42148,1601358403.54,-0.096,17.61
1601358413.64,1527.42038,1601358413.4,-0.236,17.59
1601358423.64,1527.41782,1601358423.24,-0.396,17.24
1601358433.64,1527.41255,1601358433.1,-0.536,16.65
1601358443.64,1527.40468,1601358444.05,0.414,15.89
1601358453.64,1527.39585,1601358453.9,0.264,15.17
1601358463.64,1527.38919,1601358463.75,0.114,14.5
1601358473.64,1527.38261,1601358473.6,-0.036,13.92
1601358483.64,1527.37688,1601358483.45,-0.186,13.43
1601358493.64,1527.36987,1601358493.31,-0.326,12.92
1601358503.64,1527.36529,1601358503.16,-0.476,12.25
1601358513.64,1527.35775,1601358514.1,0.464,11.49
1601358523.64,1527.34932,1601358523.95,0.314,10.84
1601358533.64,1527.34212,1601358533.8,0.164,10.35
1601358543.64,1527.33756,1601358543.64,0.004,10.0
1601358553.64,1527.33355,1601358553.48,-0.156,9.59
1601358563.64,1527.32855,1601358563.32,-0.316,9.07
1601358573.64,1527.32306,1601358573.16,-0.476,8.64
1601358583.64,1527.31682,1601358584.09,0.454,8.2
1601358593.64,1527.31402,1601358593.93,0.294,7.79
1601358603.64,1527.31173,1601358603.77,0.134,7.58
1601358613.64,1527.30871,1601358613.61,-0.026,7.38
1601358623.64,1527.30603,1601358623.45,-0.186,7.21
1601358633.64,1527.30476,1601358633.29,-0.346,7.07
1601358643.64,1527.30154,1601358643.13,-0.506,6.79
1601358653.64,1527.30089,1601358654.07,0.434,6.66
1601358663.64,1527.2992,1601358663.9,0.264,6.52
1601358673.64,1527.29934,1601358673.74,0.104,6.51
1601358683.64,1527.29826,1601358683.58,-0.056,6.39
1601358693.64,1527.2982,1601358693.42,-0.216,6.32
1601358703.64,1527.29697,1601358703.26,-0.376,6.34
1601358713.64,1527.2964,1601358713.1,-0.536,6.25
1601358723.64,1527.29611,1601358724.04,0.404,6.2
1601358733.64,1527.29544,1601358733.88,0.244,6.19
1601358743.64,1527.2969,1601358743.72,0.084,6.26
1601358753.64,1527.29801,1601358753.56,-0.076,6.4
1601358763.64,1527.29816,1601358763.4,-0.236,6.37
1601358773.64,1527.29694,1601358773.24,-0.396,6.4
1601358783.64,1527.29836,1601358784.17,0.534,6.41
1601358793.64,1527.29927,1601358794.01,0.374,6.46
1601358803.64,1527.29859,1601358803.85,0.214,6.42
1601358813.64,1527.29853,1601358813.69,0.054,6.43
1601358823.64,1527.29879,1601358823.53,-0.106,6.45
1601358833.64,1527.29917,1601358833.37,-0.266,6.41
1601358843.64,1527.29878,1601358843.21,-0.426,6.58
1601358853.64,1527.29897,1601358854.14,0.504,6.53
1601358863.64,1527.29893,1601358863.98,0.344,6.46
1601358873.64,1527.29824,1601358873.82,0.184,6.42
1601358883.64,1527.29803,1601358883.66,0.024,6.37
1601358893.64,1527.29775,1601358893.5,-0.136,6.34
1601358903.64,1527.29678,1601358903.34,-0.296,6.28
1601358913.64,1527.29804,1601358913.18,-0.456,6.33
1601358923.64,1527.2966,1601358924.12,0.484,6.21
1601358933.64,1527.2969,1601358933.96,0.324,6.25
1601358943.64,1527.29617,1601358943.8,0.164,6.19
1601358953.64,1527.29537,1601358953.64,0.004,6.06
1601358963.64,1527.29557,1601358963.48,-0.156,6.14
1601358973.64,1527.2957,1601358973.32,-0.316,6.14
1601358983.64,1527.29497,1601358983.16,-0.476,6.13
1601358993.64,1527.29557,1601358994.1,0.464,6.11
1601359003.64,1527.29454,1601359003.93,0.294,5.98
1601359013.64,1527.29451,1601359013.77,0.134,6.02
1601359023.64,1527.2944,1601359023.62,-0.016,5.99
1601359033.64,1527.29447,1601359033.46,-0.176,5.96
1601359043.64,1527.29387,1601359043.3,-0.336,5.99
1601359053.64,1527.29471,1601359053.14,-0.496,6.03
1601359063.64,1527.29419,1601359064.07,0.434,5.9
1601359073.64,1527.29399,1601359073.92,0.284,5.91
1601359083.64,1527.29343,1601359083.75,0.114,5.93
1601359093.64,1527.29358,1601359093.59,-0.046,5.9
1601359103.64,1527.29333,1601359103.44,-0.196,5.85
1601359113.64,1527.29286,1601359113.28,-0.356,5.86
1601359123.64,1527.29315,1601359123.12,-0.516,5.74
1601359133.64,1527.29264,1601359134.05,0.414,5.74
1601359143.64,1527.29337,1601359143.89,0.254,5.77
1601359153.64,1527.29243,1601359153.73,0.094,5.82
1601359163.64,1527.29127,1601359163.57,-0.066,5.74
1601359173.64,1527.29209,1601359173.41,-0.226,5.73
1601359183.64,1527.29135,1601359183.25,-0.386,5.67
1601359193.64,1527.29056,1601359193.1,-0.536,5.62
1601359203.64,1527.28986,1601359204.03,0.394,5.59
1601359213.64,1527.28962,1601359213.87,0.234,5.53
1601359223.64,1527.28985,1601359223.71,0.074,5.57
1601359233.64,1527.29043,1601359233.55,-0.086,5.56
1601359243.64,1527.29065,1601359243.39,-0.246,5.54
1601359253.64,1527.28999,1601359253.23,-0.406,5.53
1601359263.64,1527.28988,1601359264.17,0.534,5.55
1601359273.64,1527.28963,1601359274.01,0.374,5.52
1601359283.64,1527.2887,1601359283.85,0.214,5.43
1601359293.64,1527.28828,1601359293.69,0.054,5.35
1601359303.64,1527.2875,1601359303.53,-0.106,5.24
1601359313.64,1527.2865,1601359313.37,-0.266,5.14
1601359323.64,1527.28601,1601359323.22,-0.416,5.11
1601359333.64,1527.28614,1601359334.15,0.514,5.09
1601359343.64,1527.28564,1601359343.99,0.354,5.08
1601359353.64,1527.28452,1601359353.83,0.194,4.99
1601359363.64,1527.28417,1601359363.67,0.034,4.96
1601359373.64,1527.28362,1601359373.51,-0.126,4.95
1601359383.64,1527.28271,1601359383.35,-0.286,4.88
1601359393.64,1527.28341,1601359393.2,-0.436,4.89
1601359403.64,1527.28388,1601359404.13,0.494,4.87
1601359413.64,1527.28308,1601359413.97,0.334,4.93
1601359423.64,1527.28219,1601359423.81,0.174,4.83
1601359433.64,1527.28331,1601359433.65,0.014,4.91
1601359443.64,1527.28286,1601359443.5,-0.136,4.86
1601359453.64,1527.28302,1601359453.34,-0.296,4.84
1601359463.64,1527.2836,1601359463.18,-0.456,4.85
1601359473.64,1527.28279,1601359474.11,0.474,4.83
1601359483.64,1527.28269,1601359483.95,0.314,4.74
1601359493.64,1527.28237,1601359493.79,0.154,4.8
1601359503.64,1527.28145,1601359503.64,0.004,4.75
1601359513.64,1527.28094,1601359513.48,-0.156,4.81
1601359523.64,1527.28184,1601359523.32,-0.316,4.75
1601359533.64,1527.28189,1601359533.16,-0.476,4.74
1601359543.64,1527.28315,1601359544.1,0.464,4.76
1601359553.64,1527.28166,1601359553.94,0.304,4.78
1601359563.64,1527.28177,1601359563.78,0.144,4.74
1601359573.64,1527.28097,1601359573.62,-0.016,4.73
1601359583.64,1527.28056,1601359583.46,-0.176,4.66
1601359593.64,1527.28029,1601359593.3,-0.336,4.75
1601359603.64,1527.28059,1601359603.14,-0.496,4.72
1601359613.64,1527.28134,1601359614.08,0.444,4.74
1601359623.64,1527.28134,1601359623.92,0.284,4.73
1601359633.64,1527.28125,1601359633.76,0.124,4.75
1601359643.64,1527.28125,1601359643.6,-0.036,4.73
1601359653.64,1527.28056,1601359653.44,-0.196,4.73
1601359663.64,1527.28228,1601359663.29,-0.346,4.73
1601359673.64,1527.28045,1601359673.12,-0.516,4.7
1601359683.64,1527.28211,1601359684.06,0.424,4.7
1601359693.64,1527.28113,1601359693.9,0.264,4.75
1601359703.64,1527.28223,1601359703.74,0.104,4.75
