,scatter_results_1,filtered_results_1,filtered_results_ODR_1,scatter_results_2,filtered_results_2,filtered_results_ODR_2,scatter_results_3,filtered_results_3,filtered_results_ODR_3,scatter_results_4,filtered_results_4,filtered_results_ODR_4,scatter_results_5,filtered_results_5,filtered_results_ODR_5,scatter_results_6,filtered_results_6,filtered_results_ODR_6,scatter_results_7,filtered_results_7,filtered_results_ODR_7,scatter_results_8,filtered_results_8,filtered_results_ODR_8
Slope,0.01101870418792451,0.011355778105909825,0.011354409313934749,0.010955416544205206,0.010962134809246562,0.010987765387908206,0.010999770990238179,0.011002335029959889,0.011020548603061633,0.011077101790158942,0.0110864454180373,0.011106937363072155,0.011083181840310754,0.011089156087517468,0.01110807363525489,0.011140388973743913,0.01114449022719435,0.011166275962368551,0.011184479967750566,0.011192307255749578,0.011221557882308213,0.011163885488966525,0.01116897377423638,0.011177752194941621
Intercept,1527.331194936103,1527.3190621718181,1527.320577478218,1532.3525010941005,1532.3524749209694,1532.3517312591985,1537.3188195522732,1537.3188962002769,1537.3184448710188,1542.300856188418,1542.3006978875653,1542.300208561743,1547.2893024411305,1547.2893068899837,1547.2889768063335,1552.2799621717556,1552.2800349395702,1552.279624838654,1557.2684131245796,1557.2683245933176,1557.2675267794082,1562.2791705108623,1562.27914578618,1562.2792142690955
Slope error,1.0734877915638313e-05,8.087497040837085e-05,7.882098561294337e-05,2.3469398868557053e-06,2.2860071863897365e-05,2.1538015266898835e-05,1.9109571995745385e-06,2.55384886096993e-05,2.3452100579028564e-05,1.9517098595989876e-06,2.4847391234027713e-05,2.4392260427901866e-05,1.5031763834966811e-06,2.7951384879348638e-05,2.63071059419352e-05,1.648027239934812e-06,2.937563103705397e-05,2.755393709933502e-05,1.7580076690839034e-06,2.7512310489892735e-05,2.6866809405188323e-05,1.5306061290013151e-06,2.4250261623390852e-05,2.3394487599105755e-05
Intercept error,0.0003596785930067944,0.0027597981836953683,0.00294692335687293,7.870320900028998e-05,0.000780920669612837,0.0008126262864666735,6.458446239612815e-05,0.0008791412427401853,0.0009070429847039108,6.600045319033582e-05,0.0008557419182494313,0.0009367136953010915,5.049837564582346e-05,0.0009564554865387156,0.0009702270406752637,5.533175187545121e-05,0.001004631585794278,0.0010117390467580842,5.904796445929031e-05,0.0009415359977958706,0.0010098406191278635,5.19367811906764e-05,0.0008380114902069868,0.0008885817317654641
