UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601247688.2,1555.06028,1601247687.83,-0.372,18.16
1601247698.2,1555.0582,1601247697.68,-0.522,18.03
1601247708.2,1555.05824,1601247708.63,0.428,17.92
1601247718.2,1555.05675,1601247718.47,0.268,17.84
1601247728.2,1555.05601,1601247728.33,0.128,17.77
1601247738.2,1555.05457,1601247738.18,-0.022,17.67
1601247748.2,1555.05374,1601247748.04,-0.162,17.63
1601247758.2,1555.05378,1601247757.88,-0.322,17.59
1601247768.2,1555.05217,1601247767.73,-0.472,17.5
1601247778.2,1555.05129,1601247778.68,0.478,17.46
1601247788.2,1555.04893,1601247788.53,0.328,17.17
1601247798.2,1555.04071,1601247798.38,0.178,16.24
1601247808.2,1555.03219,1601247808.23,0.028,15.39
1601247818.2,1555.02303,1601247818.08,-0.122,14.61
1601247828.2,1555.01459,1601247827.94,-0.262,13.87
1601247838.2,1555.00642,1601247837.79,-0.412,13.07
1601247848.2,1554.99866,1601247848.74,0.538,12.23
1601247858.2,1554.98902,1601247858.59,0.388,11.49
1601247868.2,1554.98046,1601247868.44,0.238,10.6
1601247878.2,1554.97269,1601247878.29,0.088,10.02
1601247888.2,1554.96707,1601247888.14,-0.062,9.46
1601247898.2,1554.96045,1601247897.99,-0.212,8.98
1601247908.2,1554.95547,1601247907.83,-0.372,8.46
1601247918.2,1554.94844,1601247917.67,-0.532,7.89
1601247928.2,1554.94333,1601247928.6,0.398,7.4
1601247938.2,1554.93907,1601247938.44,0.238,7.1
1601247948.2,1554.93696,1601247948.28,0.078,6.95
1601247958.2,1554.93584,1601247958.12,-0.082,6.94
1601247968.2,1554.93515,1601247967.96,-0.242,6.87
1601247978.2,1554.93377,1601247977.8,-0.402,6.73
1601247988.2,1554.93176,1601247988.74,0.538,6.47
1601247998.2,1554.9297,1601247998.57,0.368,6.32
1601248008.2,1554.92806,1601248008.41,0.208,6.22
1601248018.2,1554.92729,1601248018.25,0.048,6.07
1601248028.2,1554.92609,1601248028.09,-0.112,6.0
1601248038.2,1554.92457,1601248037.93,-0.272,5.9
1601248048.2,1554.92363,1601248047.77,-0.432,5.81
1601248058.2,1554.92236,1601248058.71,0.508,5.69
1601248068.2,1554.92189,1601248068.54,0.338,5.63
1601248078.2,1554.92085,1601248078.39,0.188,5.57
1601248088.2,1554.92057,1601248088.22,0.018,5.58
1601248098.2,1554.91976,1601248098.06,-0.142,5.57
1601248108.2,1554.91999,1601248107.92,-0.282,5.5
1601248118.2,1554.91913,1601248117.74,-0.462,5.49
1601248128.2,1554.91861,1601248128.67,0.468,5.44
1601248138.2,1554.91771,1601248138.52,0.318,5.42
1601248148.2,1554.91989,1601248148.35,0.148,5.45
1601248158.2,1554.9184,1601248158.19,-0.012,5.46
1601248168.2,1554.91681,1601248168.03,-0.172,5.39
1601248178.2,1554.91779,1601248177.87,-0.332,5.42
1601248188.2,1554.91852,1601248187.72,-0.482,5.43
1601248198.2,1554.91827,1601248198.66,0.458,5.4
1601248208.2,1554.91776,1601248208.49,0.288,5.35
1601248218.2,1554.91779,1601248218.33,0.128,5.37
1601248228.2,1554.91796,1601248228.17,-0.032,5.38
1601248238.2,1554.91855,1601248238.01,-0.192,5.38
1601248248.2,1554.91805,1601248247.85,-0.352,5.35
1601248258.2,1554.91779,1601248257.69,-0.512,5.35
1601248268.2,1554.91669,1601248268.63,0.428,5.33
1601248278.2,1554.9176,1601248278.46,0.258,5.31
1601248288.2,1554.91716,1601248288.3,0.098,5.3
1601248298.2,1554.91722,1601248298.15,-0.052,5.31
1601248308.2,1554.91679,1601248307.98,-0.222,5.24
1601248318.2,1554.9169,1601248317.82,-0.382,5.29
1601248328.2,1554.91623,1601248327.66,-0.542,5.21
1601248338.2,1554.91677,1601248338.6,0.398,5.24
1601248348.2,1554.91656,1601248348.44,0.238,5.19
1601248358.2,1554.91603,1601248358.28,0.078,5.19
1601248368.2,1554.91506,1601248368.12,-0.082,5.18
1601248378.2,1554.91602,1601248377.96,-0.242,5.17
1601248388.2,1554.9158,1601248387.8,-0.402,5.15
1601248398.2,1554.91482,1601248398.73,0.528,5.12
1601248408.2,1554.91534,1601248408.58,0.378,5.1
1601248418.2,1554.91464,1601248418.42,0.218,5.11
1601248428.2,1554.91584,1601248428.25,0.048,5.09
1601248438.2,1554.91394,1601248438.09,-0.112,5.05
1601248448.2,1554.91398,1601248447.93,-0.272,5.02
1601248458.2,1554.91341,1601248457.77,-0.432,5.01
1601248468.2,1554.9141,1601248468.71,0.508,4.96
1601248478.2,1554.91292,1601248478.55,0.348,4.96
1601248488.2,1554.91347,1601248488.39,0.188,4.96
1601248498.2,1554.91242,1601248498.23,0.028,4.94
1601248508.2,1554.91322,1601248508.07,-0.132,4.96
1601248518.2,1554.9137,1601248517.91,-0.292,4.95
1601248528.2,1554.91352,1601248527.75,-0.452,4.94
1601248538.2,1554.91315,1601248538.69,0.488,4.91
1601248548.2,1554.91377,1601248548.52,0.318,4.92
1601248558.2,1554.91302,1601248558.37,0.168,4.87
1601248568.2,1554.91253,1601248568.21,0.008,4.86
1601248578.2,1554.91279,1601248578.05,-0.152,4.86
1601248588.2,1554.91218,1601248587.89,-0.312,4.84
1601248598.2,1554.91216,1601248597.73,-0.472,4.84
1601248608.2,1554.91211,1601248608.66,0.458,4.76
1601248618.2,1554.91214,1601248618.5,0.298,4.78
1601248628.2,1554.91108,1601248628.35,0.148,4.78
1601248638.2,1554.91092,1601248638.18,-0.022,4.72
1601248648.2,1554.91152,1601248648.03,-0.172,4.71
1601248658.2,1554.91184,1601248657.86,-0.342,4.69
1601248668.2,1554.91168,1601248667.71,-0.492,4.66
1601248678.2,1554.91083,1601248678.64,0.438,4.62
1601248688.2,1554.91028,1601248688.48,0.278,4.61
1601248698.2,1554.9107,1601248698.32,0.118,4.63
1601248708.2,1554.91112,1601248708.16,-0.042,4.61
1601248718.2,1554.90911,1601248718.0,-0.202,4.58
1601248728.2,1554.90949,1601248727.84,-0.362,4.59
1601248738.2,1554.90939,1601248737.68,-0.522,4.59
1601248748.2,1554.90943,1601248748.61,0.408,4.57
1601248758.2,1554.90933,1601248758.46,0.258,4.57
1601248768.2,1554.91009,1601248768.3,0.098,4.59
1601248778.2,1554.90995,1601248778.14,-0.062,4.56
1601248788.2,1554.90899,1601248787.99,-0.212,4.57
1601248798.2,1554.9089,1601248797.83,-0.372,4.54
1601248808.2,1554.90893,1601248807.66,-0.542,4.55
1601248818.2,1554.90881,1601248818.62,0.418,4.54
1601248828.2,1554.90872,1601248828.44,0.238,4.57
1601248838.2,1554.90972,1601248838.28,0.078,4.58
1601248848.2,1554.90978,1601248848.12,-0.082,4.56
1601248858.2,1554.90943,1601248857.96,-0.242,4.55
1601248868.2,1554.90955,1601248867.8,-0.402,4.53
1601248878.2,1554.90953,1601248878.74,0.538,4.55
1601248888.2,1554.90985,1601248888.59,0.388,4.54
1601248898.2,1554.90924,1601248898.42,0.218,4.54
1601248908.2,1554.9095,1601248908.26,0.058,4.52
1601248918.2,1554.90964,1601248918.11,-0.092,4.52
1601248928.2,1554.90932,1601248927.95,-0.252,4.55
1601248938.2,1554.90866,1601248937.78,-0.422,4.5
1601248948.2,1554.90873,1601248948.72,0.518,4.5
1601248958.2,1554.90938,1601248958.56,0.358,4.5
1601248968.2,1554.90995,1601248968.4,0.198,4.52
1601248978.2,1554.9092,1601248978.25,0.048,4.52
1601248988.2,1554.9094,1601248988.09,-0.112,4.51
1601248998.2,1554.90828,1601248997.93,-0.272,4.53
1601249008.2,1554.90869,1601249007.76,-0.442,4.53
1601249018.2,1554.9093,1601249018.7,0.498,4.57
1601249028.2,1554.90848,1601249028.54,0.338,4.53
1601249038.2,1554.90949,1601249038.38,0.178,4.52
1601249048.2,1554.90893,1601249048.23,0.028,4.55
1601249058.2,1554.90942,1601249058.06,-0.142,4.53
1601249068.2,1554.90921,1601249067.9,-0.302,4.59
1601249078.2,1554.90982,1601249077.74,-0.462,4.54
1601249088.2,1554.9103,1601249088.68,0.478,4.56
1601249098.2,1554.90931,1601249098.52,0.318,4.56
1601249108.2,1554.90921,1601249108.36,0.158,4.52
1601249118.2,1554.90917,1601249118.2,-0.002,4.49
1601249128.2,1554.90904,1601249128.06,-0.142,4.52
1601249138.2,1554.90898,1601249137.88,-0.322,4.51
1601249148.2,1554.90993,1601249147.73,-0.472,4.52
1601249158.2,1554.9093,1601249158.66,0.458,4.49
1601249168.2,1554.90841,1601249168.5,0.298,4.52
1601249178.2,1554.90924,1601249178.34,0.138,4.52
1601249188.2,1554.9094,1601249188.19,-0.012,4.53
1601249198.2,1554.9087,1601249198.02,-0.182,4.48
1601249208.2,1554.90815,1601249207.87,-0.332,4.51
1601249218.2,1554.90864,1601249217.71,-0.492,4.5
1601249228.2,1554.90904,1601249228.64,0.438,4.55
1601249238.2,1554.90888,1601249238.49,0.288,4.52
1601249248.2,1554.90901,1601249248.33,0.128,4.58
1601249258.2,1554.90932,1601249258.16,-0.042,4.54
1601249268.2,1554.90873,1601249268.01,-0.192,4.53
1601249278.2,1554.90915,1601249277.85,-0.352,4.55
1601249288.2,1554.90868,1601249287.69,-0.512,4.53
1601249298.2,1554.90916,1601249298.62,0.418,4.53
