UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601247688.2,1560.06053,1601247688.03,-0.172,18.29
1601247698.2,1560.05947,1601247697.88,-0.322,18.18
1601247708.2,1560.05747,1601247707.73,-0.472,18.06
1601247718.2,1560.05732,1601247718.68,0.478,17.96
1601247728.2,1560.05527,1601247728.53,0.328,17.88
1601247738.2,1560.05504,1601247738.38,0.178,17.8
1601247748.2,1560.05425,1601247748.22,0.018,17.72
1601247758.2,1560.05216,1601247758.08,-0.122,17.66
1601247768.2,1560.05233,1601247767.93,-0.272,17.64
1601247778.2,1560.05281,1601247777.78,-0.422,17.6
1601247788.2,1560.0501,1601247788.72,0.518,17.43
1601247798.2,1560.04467,1601247798.57,0.368,16.81
1601247808.2,1560.03714,1601247808.43,0.228,16.14
1601247818.2,1560.03086,1601247818.28,0.078,15.51
1601247828.2,1560.02402,1601247828.13,-0.072,14.82
1601247838.2,1560.01737,1601247837.98,-0.222,14.11
1601247848.2,1560.01002,1601247847.83,-0.372,13.48
1601247858.2,1560.00251,1601247857.69,-0.512,12.77
1601247868.2,1559.99381,1601247868.64,0.438,11.93
1601247878.2,1559.98702,1601247878.48,0.278,11.34
1601247888.2,1559.97961,1601247888.34,0.138,10.74
1601247898.2,1559.97451,1601247898.18,-0.022,10.27
1601247908.2,1559.96887,1601247908.02,-0.182,9.79
1601247918.2,1559.96271,1601247917.86,-0.342,9.16
1601247928.2,1559.95774,1601247927.71,-0.492,8.64
1601247938.2,1559.95328,1601247938.63,0.428,8.29
1601247948.2,1559.95101,1601247948.47,0.268,8.05
1601247958.2,1559.94747,1601247958.31,0.108,7.89
1601247968.2,1559.94638,1601247968.16,-0.042,7.79
1601247978.2,1559.94355,1601247977.99,-0.212,7.58
1601247988.2,1559.94107,1601247987.84,-0.362,7.32
1601247998.2,1559.93932,1601247997.67,-0.532,7.18
1601248008.2,1559.93797,1601248008.6,0.398,6.99
1601248018.2,1559.93631,1601248018.44,0.238,6.85
1601248028.2,1559.93462,1601248028.29,0.088,6.7
1601248038.2,1559.93247,1601248038.12,-0.082,6.62
1601248048.2,1559.93106,1601248047.97,-0.232,6.46
1601248058.2,1559.92941,1601248057.8,-0.402,6.31
1601248068.2,1559.92881,1601248068.74,0.538,6.2
1601248078.2,1559.9277,1601248078.58,0.378,6.14
1601248088.2,1559.92633,1601248088.41,0.208,6.12
1601248098.2,1559.92465,1601248098.26,0.058,6.07
1601248108.2,1559.92538,1601248108.09,-0.112,6.0
1601248118.2,1559.92384,1601248117.94,-0.262,5.98
1601248128.2,1559.92397,1601248127.79,-0.412,5.92
1601248138.2,1559.92426,1601248138.71,0.508,5.91
1601248148.2,1559.92376,1601248148.55,0.348,5.86
1601248158.2,1559.92233,1601248158.39,0.188,5.83
1601248168.2,1559.92284,1601248168.23,0.028,5.83
1601248178.2,1559.92214,1601248178.08,-0.122,5.76
1601248188.2,1559.92187,1601248187.91,-0.292,5.74
1601248198.2,1559.92223,1601248197.76,-0.442,5.74
1601248208.2,1559.92041,1601248208.69,0.488,5.72
1601248218.2,1559.92077,1601248218.52,0.318,5.68
1601248228.2,1559.92011,1601248228.37,0.168,5.64
1601248238.2,1559.92125,1601248238.21,0.008,5.67
1601248248.2,1559.92057,1601248248.05,-0.152,5.64
1601248258.2,1559.91979,1601248257.89,-0.312,5.61
1601248268.2,1559.91965,1601248267.72,-0.482,5.6
1601248278.2,1559.91918,1601248278.66,0.458,5.56
1601248288.2,1559.91927,1601248288.5,0.298,5.57
1601248298.2,1559.91961,1601248298.34,0.138,5.54
1601248308.2,1559.91999,1601248308.18,-0.022,5.54
1601248318.2,1559.91876,1601248318.02,-0.182,5.5
1601248328.2,1559.91829,1601248327.86,-0.342,5.51
1601248338.2,1559.91836,1601248337.7,-0.502,5.48
1601248348.2,1559.91726,1601248348.63,0.428,5.44
1601248358.2,1559.91738,1601248358.47,0.268,5.44
1601248368.2,1559.91731,1601248368.31,0.108,5.42
1601248378.2,1559.91702,1601248378.15,-0.052,5.38
1601248388.2,1559.91727,1601248388.0,-0.202,5.38
1601248398.2,1559.91679,1601248397.83,-0.372,5.42
1601248408.2,1559.91627,1601248407.68,-0.522,5.35
1601248418.2,1559.91583,1601248418.61,0.408,5.31
1601248428.2,1559.91625,1601248428.45,0.248,5.3
1601248438.2,1559.9152,1601248438.29,0.088,5.27
1601248448.2,1559.9153,1601248448.13,-0.072,5.27
1601248458.2,1559.91511,1601248457.97,-0.232,5.22
1601248468.2,1559.91573,1601248467.81,-0.392,5.2
1601248478.2,1559.91429,1601248478.75,0.548,5.18
1601248488.2,1559.91433,1601248488.59,0.388,5.16
1601248498.2,1559.91458,1601248498.42,0.218,5.15
1601248508.2,1559.91378,1601248508.26,0.058,5.11
1601248518.2,1559.91419,1601248518.1,-0.102,5.11
1601248528.2,1559.91402,1601248527.95,-0.252,5.09
1601248538.2,1559.91418,1601248537.79,-0.412,5.1
1601248548.2,1559.91354,1601248548.73,0.528,5.07
1601248558.2,1559.91397,1601248558.56,0.358,5.02
1601248568.2,1559.91347,1601248568.4,0.198,5.04
1601248578.2,1559.91347,1601248578.25,0.048,5.0
1601248588.2,1559.91317,1601248588.08,-0.122,5.0
