UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601247688.2,1537.51868,1601247688.36,0.158,17.7
1601247698.2,1537.51677,1601247698.21,0.008,17.58
1601247708.2,1537.51598,1601247708.06,-0.142,17.48
1601247718.2,1537.51557,1601247717.91,-0.292,17.39
1601247728.2,1537.51448,1601247727.77,-0.432,17.28
1601247738.2,1537.51297,1601247738.71,0.508,17.2
1601247748.2,1537.51196,1601247748.56,0.358,17.14
1601247758.2,1537.51085,1601247758.41,0.208,17.11
1601247768.2,1537.51037,1601247768.26,0.058,17.03
1601247778.2,1537.51055,1601247778.11,-0.092,16.98
1601247788.2,1537.50877,1601247787.97,-0.232,16.8
1601247798.2,1537.50395,1601247797.82,-0.382,16.07
1601247808.2,1537.49633,1601247807.67,-0.532,15.41
1601247818.2,1537.48887,1601247818.62,0.418,14.65
1601247828.2,1537.47938,1601247828.47,0.268,13.86
1601247838.2,1537.47304,1601247838.32,0.118,13.23
1601247848.2,1537.46625,1601247848.17,-0.032,12.58
1601247858.2,1537.45771,1601247858.02,-0.182,11.72
1601247868.2,1537.4491,1601247867.88,-0.322,11.09
1601247878.2,1537.44163,1601247877.73,-0.472,10.4
1601247888.2,1537.4361,1601247888.67,0.468,9.9
1601247898.2,1537.43026,1601247898.52,0.318,9.39
1601247908.2,1537.42546,1601247908.36,0.158,8.94
1601247918.2,1537.42016,1601247918.2,-0.002,8.4
1601247928.2,1537.41473,1601247928.04,-0.162,7.93
1601247938.2,1537.40986,1601247937.88,-0.322,7.59
1601247948.2,1537.40866,1601247947.72,-0.482,7.49
1601247958.2,1537.4066,1601247958.65,0.448,7.42
1601247968.2,1537.40629,1601247968.49,0.288,7.33
1601247978.2,1537.40242,1601247978.33,0.128,7.17
1601247988.2,1537.40123,1601247988.17,-0.032,6.96
1601247998.2,1537.39945,1601247998.01,-0.192,6.78
1601248008.2,1537.39865,1601248007.85,-0.352,6.67
1601248018.2,1537.39762,1601248017.69,-0.512,6.57
1601248028.2,1537.397,1601248028.62,0.418,6.53
1601248038.2,1537.39544,1601248038.46,0.258,6.5
1601248048.2,1537.3955,1601248048.3,0.098,6.46
1601248058.2,1537.3955,1601248058.14,-0.062,6.34
1601248068.2,1537.39467,1601248067.98,-0.222,6.35
1601248078.2,1537.39389,1601248077.82,-0.382,6.28
1601248088.2,1537.393,1601248087.66,-0.542,6.28
1601248098.2,1537.39349,1601248098.59,0.388,6.27
1601248108.2,1537.39248,1601248108.43,0.228,6.2
1601248118.2,1537.39256,1601248118.27,0.068,6.21
1601248128.2,1537.39176,1601248128.11,-0.092,6.14
1601248138.2,1537.39135,1601248137.95,-0.252,6.17
1601248148.2,1537.3916,1601248147.79,-0.412,6.2
1601248158.2,1537.3911,1601248158.73,0.528,6.14
1601248168.2,1537.39162,1601248168.56,0.358,6.09
1601248178.2,1537.3911,1601248178.41,0.208,6.04
1601248188.2,1537.39085,1601248188.24,0.038,5.98
1601248198.2,1537.39147,1601248198.09,-0.112,6.01
1601248208.2,1537.39036,1601248207.93,-0.272,6.04
1601248218.2,1537.39041,1601248217.77,-0.432,5.92
