UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601022272.74,1559.98089,1601022272.78,0.039,20.37
1601022282.74,1559.98089,1601022282.61,-0.131,20.37
1601022292.74,1559.98061,1601022292.45,-0.291,20.38
1601022302.74,1559.98001,1601022302.29,-0.451,20.34
1601022312.74,1559.97978,1601022313.21,0.469,20.32
1601022322.74,1559.97939,1601022323.04,0.299,20.32
1601022332.74,1559.98094,1601022332.88,0.139,20.32
1601022342.74,1559.98015,1601022342.72,-0.021,20.29
1601022352.74,1559.97892,1601022352.55,-0.191,20.3
1601022362.74,1559.97898,1601022362.39,-0.351,20.29
1601022372.74,1559.98044,1601022372.22,-0.521,20.3
1601022382.74,1559.97982,1601022383.15,0.409,20.26
1601022392.74,1559.97948,1601022392.98,0.239,20.24
1601022402.74,1559.97779,1601022402.82,0.079,20.28
1601022412.74,1559.97854,1601022412.65,-0.091,20.24
1601022422.74,1559.97945,1601022422.49,-0.251,20.22
1601022432.74,1559.97701,1601022432.32,-0.421,19.97
1601022442.74,1559.97382,1601022443.25,0.509,19.58
1601022452.74,1559.96895,1601022453.09,0.349,19.16
1601022462.74,1559.96444,1601022462.93,0.189,18.64
1601022472.74,1559.95796,1601022472.76,0.019,18.18
1601022482.74,1559.95291,1601022482.59,-0.151,17.64
1601022492.74,1559.94759,1601022492.43,-0.311,17.17
1601022502.74,1559.94012,1601022502.27,-0.471,16.6
1601022512.74,1559.93307,1601022513.19,0.449,15.88
1601022522.74,1559.92765,1601022523.03,0.289,15.26
1601022532.74,1559.9206,1601022532.86,0.119,14.66
1601022542.74,1559.91434,1601022542.7,-0.041,14.03
1601022552.74,1559.90554,1601022552.53,-0.211,13.33
1601022562.74,1559.89707,1601022562.37,-0.371,12.57
1601022572.74,1559.88876,1601022572.21,-0.531,11.81
1601022582.74,1559.88096,1601022583.13,0.389,11.08
1601022592.74,1559.87383,1601022592.95,0.209,10.44
1601022602.74,1559.86756,1601022602.78,0.039,9.95
1601022612.74,1559.86266,1601022612.6,-0.141,9.73
1601022622.74,1559.86047,1601022622.42,-0.321,9.5
1601022632.74,1559.8572,1601022632.24,-0.501,9.36
1601022642.74,1559.85371,1601022643.15,0.409,9.18
1601022652.74,1559.85325,1601022652.98,0.239,8.95
1601022662.74,1559.85141,1601022662.8,0.059,8.85
1601022672.74,1559.84822,1601022672.62,-0.121,8.71
1601022682.74,1559.84763,1601022682.44,-0.301,8.63
1601022692.74,1559.84656,1601022692.26,-0.481,8.52
1601022702.74,1559.84551,1601022703.18,0.439,8.45
1601022712.74,1559.84487,1601022712.99,0.249,8.35
1601022722.74,1559.84221,1601022722.82,0.079,8.25
1601022732.74,1559.84146,1601022732.64,-0.101,8.12
1601022742.74,1559.83978,1601022742.46,-0.281,7.98
1601022752.74,1559.83942,1601022752.28,-0.461,7.89
1601022762.74,1559.83825,1601022763.19,0.449,7.81
1601022772.74,1559.8377,1601022773.02,0.279,7.75
1601022782.74,1559.83538,1601022782.83,0.089,7.66
1601022792.74,1559.83535,1601022792.66,-0.081,7.55
1601022802.74,1559.83425,1601022802.48,-0.261,7.44
1601022812.74,1559.83484,1601022812.31,-0.431,7.4
1601022822.74,1559.83253,1601022823.21,0.469,7.37
1601022832.74,1559.83269,1601022833.04,0.299,7.34
1601022842.74,1559.83174,1601022842.85,0.109,7.23
1601022852.74,1559.83111,1601022852.68,-0.061,7.2
1601022862.74,1559.83092,1601022862.5,-0.241,7.17
1601022872.74,1559.83027,1601022872.32,-0.421,7.15
1601022882.74,1559.82935,1601022883.23,0.489,7.09
1601022892.74,1559.82717,1601022893.06,0.319,7.02
1601022902.74,1559.82896,1601022902.87,0.129,7.0
1601022912.74,1559.82701,1601022912.7,-0.041,6.99
1601022922.74,1559.82862,1601022922.52,-0.221,6.97
1601022932.74,1559.82794,1601022932.34,-0.401,6.96
1601022942.74,1559.82711,1601022943.26,0.519,6.97
1601022952.74,1559.82759,1601022953.07,0.329,6.92
1601022962.74,1559.82652,1601022962.9,0.159,6.91
1601022972.74,1559.82545,1601022972.72,-0.021,6.91
1601022982.74,1559.82607,1601022982.54,-0.201,6.86
1601022992.74,1559.82665,1601022992.36,-0.381,6.9
1601023002.74,1559.82703,1601023003.27,0.529,6.83
1601023012.74,1559.82524,1601023013.1,0.359,6.81
1601023022.74,1559.82558,1601023022.92,0.179,6.85
1601023032.74,1559.82559,1601023032.74,-0.001,6.84
1601023042.74,1559.82674,1601023042.56,-0.181,6.88
1601023052.74,1559.82649,1601023052.39,-0.351,6.88
1601023062.74,1559.82664,1601023062.21,-0.531,6.85
1601023072.74,1559.82688,1601023073.12,0.379,6.84
1601023082.74,1559.82584,1601023082.94,0.199,6.83
1601023092.74,1559.826,1601023092.76,0.019,6.79
1601023102.74,1559.82531,1601023102.58,-0.161,6.79
1601023112.74,1559.82446,1601023112.41,-0.331,6.74
1601023122.74,1559.82488,1601023122.23,-0.511,6.7
1601023132.74,1559.82481,1601023133.14,0.399,6.65
1601023142.74,1559.82424,1601023142.96,0.219,6.65
1601023152.74,1559.82473,1601023152.78,0.039,6.61
1601023162.74,1559.82341,1601023162.61,-0.131,6.59
1601023172.74,1559.82328,1601023172.43,-0.311,6.59
1601023182.74,1559.8223,1601023182.25,-0.491,6.58
1601023192.74,1559.82312,1601023193.16,0.419,6.59
1601023202.74,1559.82272,1601023202.98,0.239,6.66
1601023212.74,1559.82277,1601023212.8,0.059,6.56
1601023222.74,1559.82188,1601023222.63,-0.111,6.55
1601023232.74,1559.82292,1601023232.44,-0.301,6.5
1601023242.74,1559.82229,1601023242.27,-0.471,6.48
1601023252.74,1559.8247,1601023253.18,0.439,6.46
1601023262.74,1559.82162,1601023263.0,0.259,6.48
1601023272.74,1559.82281,1601023272.83,0.089,6.48
1601023282.74,1559.82206,1601023282.65,-0.091,6.49
1601023292.74,1559.82284,1601023292.47,-0.271,6.48
1601023302.74,1559.82116,1601023302.3,-0.441,6.44
1601023312.74,1559.82236,1601023313.2,0.459,6.44
1601023322.74,1559.82106,1601023323.03,0.289,6.41
1601023332.74,1559.82157,1601023332.85,0.109,6.41
1601023342.74,1559.82077,1601023342.67,-0.071,6.42
1601023352.74,1559.82181,1601023352.49,-0.251,6.41
1601023362.74,1559.82075,1601023362.32,-0.421,6.37
1601023372.74,1559.82163,1601023373.23,0.489,6.34
1601023382.74,1559.82072,1601023383.05,0.309,6.32
1601023392.74,1559.81957,1601023392.88,0.139,6.28
1601023402.74,1559.81815,1601023402.7,-0.041,6.29
1601023412.74,1559.82045,1601023412.52,-0.221,6.27
1601023422.74,1559.81856,1601023422.34,-0.401,6.21
1601023432.74,1559.81929,1601023433.26,0.519,6.2
1601023442.74,1559.81935,1601023443.08,0.339,6.17
1601023452.74,1559.81878,1601023452.9,0.159,6.13
1601023462.74,1559.81772,1601023462.72,-0.021,6.1
1601023472.74,1559.81758,1601023472.55,-0.191,6.1
1601023482.74,1559.81869,1601023482.37,-0.371,6.06
1601023492.74,1559.81672,1601023493.28,0.539,6.06
1601023502.74,1559.81757,1601023503.1,0.359,6.04
1601023512.74,1559.81873,1601023512.93,0.189,6.06
1601023522.74,1559.81767,1601023522.75,0.009,6.03
1601023532.74,1559.81701,1601023532.57,-0.171,6.07
1601023542.74,1559.81872,1601023542.4,-0.341,6.07
1601023552.74,1559.81829,1601023552.22,-0.521,6.12
1601023562.74,1559.81832,1601023563.13,0.389,6.05
1601023572.74,1559.81636,1601023572.95,0.209,6.03
1601023582.74,1559.81675,1601023582.78,0.039,6.04
1601023592.74,1559.81719,1601023592.6,-0.141,6.0
1601023602.74,1559.81612,1601023602.43,-0.311,6.01
1601023612.74,1559.81584,1601023612.25,-0.491,5.94
1601023622.74,1559.81562,1601023623.16,0.419,5.92
1601023632.74,1559.81542,1601023632.98,0.239,5.88
1601023642.74,1559.81544,1601023642.81,0.069,5.83
1601023652.74,1559.81606,1601023652.63,-0.111,5.82
1601023662.74,1559.81462,1601023662.45,-0.291,5.83
1601023672.74,1559.81454,1601023672.28,-0.461,5.79
1601023682.74,1559.81431,1601023683.19,0.449,5.78
1601023692.74,1559.81387,1601023693.02,0.279,5.77
1601023702.74,1559.81405,1601023702.83,0.089,5.78
1601023712.74,1559.81411,1601023712.66,-0.081,5.73
1601023722.74,1559.81325,1601023722.48,-0.261,5.71
1601023732.74,1559.81344,1601023732.3,-0.441,5.75
1601023742.74,1559.81356,1601023743.22,0.479,5.72
1601023752.74,1559.81344,1601023753.04,0.299,5.69
1601023762.74,1559.81292,1601023762.86,0.119,5.69
1601023772.74,1559.81322,1601023772.69,-0.051,5.72
1601023782.74,1559.81278,1601023782.51,-0.231,5.75
1601023792.74,1559.81327,1601023792.33,-0.411,5.71
1601023802.74,1559.81348,1601023803.25,0.509,5.71
1601023812.74,1559.81232,1601023813.07,0.329,5.69
1601023822.74,1559.81365,1601023822.89,0.149,5.7
1601023832.74,1559.81317,1601023832.71,-0.031,5.67
1601023842.74,1559.81206,1601023842.54,-0.201,5.67
1601023852.74,1559.81344,1601023852.36,-0.381,5.67
1601023862.74,1559.8127,1601023863.27,0.529,5.63
1601023872.74,1559.81341,1601023873.1,0.359,5.66
1601023882.74,1559.81218,1601023882.92,0.179,5.64
1601023892.74,1559.81228,1601023892.74,-0.001,5.64
1601023902.74,1559.81345,1601023902.57,-0.171,5.61
1601023912.74,1559.81231,1601023912.39,-0.351,5.6
1601023922.74,1559.81225,1601023922.21,-0.531,5.61
1601023932.74,1559.81159,1601023933.13,0.389,5.57
1601023942.74,1559.81134,1601023942.95,0.209,5.54
1601023952.74,1559.81113,1601023952.77,0.029,5.52
1601023962.74,1559.81122,1601023962.59,-0.151,5.48
1601023972.74,1559.81056,1601023972.41,-0.331,5.49
1601023982.74,1559.81125,1601023982.24,-0.501,5.48
1601023992.74,1559.81147,1601023993.16,0.419,5.46
1601024002.74,1559.8104,1601024002.97,0.229,5.45
1601024012.74,1559.81021,1601024012.8,0.059,5.44
1601024022.74,1559.81004,1601024022.62,-0.121,5.43
1601024032.74,1559.80963,1601024032.44,-0.301,5.44
1601024042.74,1559.81083,1601024042.27,-0.471,5.43
1601024052.74,1559.80902,1601024053.18,0.439,5.38
1601024062.74,1559.80886,1601024063.0,0.259,5.34
1601024072.74,1559.80979,1601024072.83,0.089,5.34
1601024082.74,1559.81038,1601024082.65,-0.091,5.34
1601024092.74,1559.80792,1601024092.47,-0.271,5.3
1601024102.74,1559.80737,1601024102.29,-0.451,5.28
1601024112.74,1559.80772,1601024113.21,0.469,5.26
1601024122.74,1559.80871,1601024123.03,0.289,5.22
1601024132.74,1559.80762,1601024132.85,0.109,5.23
1601024142.74,1559.80782,1601024142.67,-0.071,5.2
1601024152.74,1559.80762,1601024152.5,-0.241,5.19
1601024162.74,1559.80778,1601024162.32,-0.421,5.18
