UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601022272.74,1564.98654,1601022272.96,0.219,20.31
1601022282.74,1564.98522,1601022282.79,0.049,20.29
1601022292.74,1564.98614,1601022292.63,-0.111,20.28
1601022302.74,1564.98602,1601022302.46,-0.281,20.34
1601022312.74,1564.98574,1601022312.3,-0.441,20.28
1601022322.74,1564.98455,1601022323.22,0.479,20.26
1601022332.74,1564.98516,1601022333.06,0.319,20.25
1601022342.74,1564.98372,1601022342.89,0.149,20.25
1601022352.74,1564.98423,1601022352.73,-0.011,20.22
1601022362.74,1564.98449,1601022362.56,-0.181,20.21
1601022372.74,1564.98541,1601022372.4,-0.341,20.21
1601022382.74,1564.98363,1601022382.23,-0.511,20.21
1601022392.74,1564.98538,1601022393.17,0.429,20.17
1601022402.74,1564.98377,1601022403.0,0.259,20.2
1601022412.74,1564.98429,1601022412.83,0.089,20.18
1601022422.74,1564.98366,1601022422.67,-0.071,20.06
1601022432.74,1564.98071,1601022432.5,-0.241,19.74
1601022442.74,1564.97741,1601022442.34,-0.401,19.26
1601022452.74,1564.97129,1601022453.27,0.529,18.66
1601022462.74,1564.96528,1601022463.1,0.359,18.11
1601022472.74,1564.95852,1601022472.94,0.199,17.54
1601022482.74,1564.95103,1601022482.78,0.039,16.93
1601022492.74,1564.94657,1601022492.61,-0.131,16.36
1601022502.74,1564.9391,1601022502.45,-0.291,15.77
1601022512.74,1564.93374,1601022512.28,-0.461,15.07
1601022522.74,1564.92424,1601022523.21,0.469,14.31
1601022532.74,1564.91779,1601022533.04,0.299,13.6
1601022542.74,1564.90878,1601022542.88,0.139,12.91
1601022552.74,1564.90125,1601022552.72,-0.021,12.23
1601022562.74,1564.89201,1601022562.55,-0.191,11.49
1601022572.74,1564.88156,1601022572.38,-0.361,10.73
1601022582.74,1564.87548,1601022582.22,-0.521,10.1
1601022592.74,1564.86722,1601022593.13,0.389,9.34
1601022602.74,1564.86167,1601022602.96,0.219,8.93
1601022612.74,1564.85716,1601022612.78,0.039,8.72
1601022622.74,1564.85349,1601022622.6,-0.141,8.61
1601022632.74,1564.85201,1601022632.42,-0.321,8.54
1601022642.74,1564.85112,1601022642.24,-0.501,8.38
1601022652.74,1564.84969,1601022653.16,0.419,8.23
1601022662.74,1564.84748,1601022662.98,0.239,8.21
1601022672.74,1564.84565,1601022672.8,0.059,8.07
1601022682.74,1564.84312,1601022682.62,-0.121,8.01
1601022692.74,1564.84346,1601022692.44,-0.301,7.95
1601022702.74,1564.84225,1601022702.26,-0.481,7.92
1601022712.74,1564.84128,1601022713.17,0.429,7.82
1601022722.74,1564.84135,1601022723.0,0.259,7.74
1601022732.74,1564.84084,1601022732.82,0.079,7.67
1601022742.74,1564.83891,1601022742.64,-0.101,7.62
1601022752.74,1564.83902,1601022752.46,-0.281,7.54
1601022762.74,1564.83727,1601022762.28,-0.461,7.46
1601022772.74,1564.83774,1601022773.2,0.459,7.4
1601022782.74,1564.83548,1601022783.01,0.269,7.3
1601022792.74,1564.8331,1601022792.84,0.099,7.24
1601022802.74,1564.83365,1601022802.66,-0.081,7.1
1601022812.74,1564.83502,1601022812.48,-0.261,7.09
1601022822.74,1564.83271,1601022822.3,-0.441,7.04
1601022832.74,1564.83193,1601022833.21,0.469,6.99
1601022842.74,1564.83249,1601022843.04,0.299,7.01
1601022852.74,1564.83277,1601022852.86,0.119,6.94
1601022862.74,1564.82962,1601022862.68,-0.061,6.93
1601022872.74,1564.82988,1601022872.5,-0.241,6.87
1601022882.74,1564.82906,1601022882.32,-0.421,6.85
1601022892.74,1564.82931,1601022893.24,0.499,6.78
