UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601022272.74,1550.01077,1601022272.4,-0.341,20.42
1601022282.74,1550.01125,1601022282.24,-0.501,20.3
1601022292.74,1550.01154,1601022293.16,0.419,20.32
1601022302.74,1550.01083,1601022303.0,0.259,20.3
1601022312.74,1550.01059,1601022312.83,0.089,20.33
1601022322.74,1550.00994,1601022322.67,-0.071,20.35
1601022332.74,1550.01001,1601022332.5,-0.241,20.35
1601022342.74,1550.0103,1601022342.34,-0.401,20.29
1601022352.74,1550.00952,1601022353.26,0.519,20.31
1601022362.74,1550.00981,1601022363.1,0.359,20.31
1601022372.74,1550.01039,1601022372.94,0.199,20.28
1601022382.74,1550.00989,1601022382.77,0.029,20.28
1601022392.74,1550.00976,1601022392.6,-0.141,20.21
1601022402.74,1550.0097,1601022402.44,-0.301,20.3
1601022412.74,1550.00983,1601022412.28,-0.461,20.26
1601022422.74,1550.00876,1601022423.2,0.459,20.14
1601022432.74,1550.00587,1601022433.04,0.299,19.8
1601022442.74,1550.00313,1601022442.87,0.129,19.37
1601022452.74,1549.99809,1601022452.71,-0.031,18.87
1601022462.74,1549.99202,1601022462.54,-0.201,18.33
1601022472.74,1549.98639,1601022472.38,-0.361,17.8
1601022482.74,1549.98109,1601022482.21,-0.531,17.27
1601022492.74,1549.97449,1601022493.14,0.399,16.66
1601022502.74,1549.96722,1601022502.98,0.239,15.97
1601022512.74,1549.96153,1601022512.81,0.069,15.4
1601022522.74,1549.95445,1601022522.65,-0.091,14.78
1601022532.74,1549.94731,1601022532.49,-0.251,14.14
1601022542.74,1549.94015,1601022542.32,-0.421,13.44
1601022552.74,1549.93136,1601022553.25,0.509,12.74
1601022562.74,1549.92349,1601022563.08,0.339,12.03
1601022572.74,1549.9152,1601022572.92,0.179,11.44
1601022582.74,1549.90802,1601022582.75,0.009,10.83
1601022592.74,1549.90122,1601022592.58,-0.161,10.25
1601022602.74,1549.89607,1601022602.4,-0.341,9.81
1601022612.74,1549.89046,1601022612.22,-0.521,9.55
1601022622.74,1549.88808,1601022623.13,0.389,9.35
1601022632.74,1549.88602,1601022632.96,0.219,9.23
1601022642.74,1549.8835,1601022642.78,0.039,9.12
1601022652.74,1549.88093,1601022652.6,-0.141,8.86
1601022662.74,1549.88008,1601022662.42,-0.321,8.8
1601022672.74,1549.87798,1601022672.24,-0.501,8.66
1601022682.74,1549.87654,1601022683.15,0.409,8.62
1601022692.74,1549.87557,1601022692.97,0.229,8.47
1601022702.74,1549.87471,1601022702.8,0.059,8.4
1601022712.74,1549.87279,1601022712.62,-0.121,8.39
1601022722.74,1549.87234,1601022722.44,-0.301,8.25
1601022732.74,1549.87063,1601022732.26,-0.481,8.27
1601022742.74,1549.8704,1601022743.17,0.429,8.16
