UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601022272.74,1569.9525,1601022273.16,0.419,20.37
1601022282.74,1569.95074,1601022282.99,0.249,20.36
1601022292.74,1569.95129,1601022292.83,0.089,20.35
1601022302.74,1569.95181,1601022302.66,-0.081,20.33
1601022312.74,1569.95111,1601022312.5,-0.241,20.32
1601022322.74,1569.94999,1601022322.33,-0.411,20.3
1601022332.74,1569.95076,1601022333.26,0.519,20.27
1601022342.74,1569.95012,1601022343.1,0.359,20.26
1601022352.74,1569.94875,1601022352.92,0.179,20.26
1601022362.74,1569.94944,1601022362.76,0.019,20.27
1601022372.74,1569.95058,1601022372.59,-0.151,20.24
1601022382.74,1569.94942,1601022382.43,-0.311,20.23
1601022392.74,1569.95032,1601022392.27,-0.471,20.23
1601022402.74,1569.94848,1601022403.19,0.449,20.22
1601022412.74,1569.9481,1601022413.03,0.289,20.21
1601022422.74,1569.94949,1601022422.87,0.129,20.03
1601022432.74,1569.94481,1601022432.71,-0.031,19.68
1601022442.74,1569.93926,1601022442.54,-0.201,19.19
1601022452.74,1569.93172,1601022452.38,-0.361,18.57
1601022462.74,1569.92489,1601022462.21,-0.531,17.98
1601022472.74,1569.91736,1601022473.14,0.399,17.27
1601022482.74,1569.91016,1601022482.97,0.229,16.65
1601022492.74,1569.90298,1601022492.8,0.059,16.06
1601022502.74,1569.89414,1601022502.64,-0.101,15.39
1601022512.74,1569.88707,1601022512.48,-0.261,14.67
1601022522.74,1569.87797,1601022522.32,-0.421,13.95
1601022532.74,1569.8697,1601022533.24,0.499,13.13
1601022542.74,1569.86017,1601022543.07,0.329,12.31
1601022552.74,1569.85133,1601022552.91,0.169,11.55
1601022562.74,1569.84379,1601022562.74,-0.001,10.8
1601022572.74,1569.83323,1601022572.58,-0.161,10.08
1601022582.74,1569.8272,1601022582.41,-0.331,9.5
1601022592.74,1569.82021,1601022592.24,-0.501,8.99
1601022602.74,1569.81571,1601022603.16,0.419,8.54
1601022612.74,1569.81134,1601022612.98,0.239,8.18
1601022622.74,1569.80814,1601022622.8,0.059,7.94
1601022632.74,1569.80808,1601022632.63,-0.111,7.8
1601022642.74,1569.80502,1601022642.44,-0.301,7.59
1601022652.74,1569.80464,1601022652.26,-0.481,7.51
1601022662.74,1569.80212,1601022663.17,0.429,7.41
1601022672.74,1569.80131,1601022673.0,0.259,7.34
1601022682.74,1569.80074,1601022682.81,0.069,7.31
1601022692.74,1569.799,1601022692.64,-0.101,7.26
1601022702.74,1569.79944,1601022702.46,-0.281,7.16
1601022712.74,1569.79825,1601022712.28,-0.461,7.12
1601022722.74,1569.79777,1601022723.2,0.459,7.1
1601022732.74,1569.79679,1601022733.01,0.269,7.03
1601022742.74,1569.79682,1601022742.84,0.099,6.96
1601022752.74,1569.79666,1601022752.65,-0.091,6.9
1601022762.74,1569.79602,1601022762.48,-0.261,6.91
1601022772.74,1569.79508,1601022772.3,-0.441,6.87
1601022782.74,1569.79434,1601022783.21,0.469,6.79
1601022792.74,1569.79505,1601022793.04,0.299,6.74
1601022802.74,1569.79356,1601022802.87,0.129,6.65
1601022812.74,1569.79297,1601022812.67,-0.071,6.6
1601022822.74,1569.79162,1601022822.5,-0.241,6.6
1601022832.74,1569.79156,1601022832.32,-0.421,6.48
1601022842.74,1569.79097,1601022843.24,0.499,6.45
1601022852.74,1569.79037,1601022853.06,0.319,6.42
1601022862.74,1569.78911,1601022862.88,0.139,6.4
1601022872.74,1569.78939,1601022872.7,-0.041,6.37
1601022882.74,1569.789,1601022882.52,-0.221,6.36
1601022892.74,1569.78867,1601022892.35,-0.391,6.34
1601022902.74,1569.78891,1601022903.25,0.509,6.28
1601022912.74,1569.7885,1601022913.08,0.339,6.24
1601022922.74,1569.7882,1601022922.9,0.159,6.25
