UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601022272.74,1569.98284,1601022273.14,0.399,20.51
1601022282.74,1569.98342,1601022282.97,0.229,20.48
1601022292.74,1569.98269,1601022292.81,0.069,20.49
1601022302.74,1569.98299,1601022302.64,-0.101,20.48
1601022312.74,1569.98168,1601022312.48,-0.261,20.48
1601022322.74,1569.98081,1601022322.31,-0.431,20.44
1601022332.74,1569.98162,1601022333.24,0.499,20.44
1601022342.74,1569.98131,1601022343.08,0.339,20.43
1601022352.74,1569.98096,1601022352.91,0.169,20.45
1601022362.74,1569.9817,1601022362.75,0.009,20.44
1601022372.74,1569.98057,1601022372.58,-0.161,20.39
1601022382.74,1569.98041,1601022382.41,-0.331,20.41
1601022392.74,1569.98045,1601022392.25,-0.491,20.38
1601022402.74,1569.981,1601022403.18,0.439,20.39
1601022412.74,1569.97914,1601022413.01,0.269,20.37
1601022422.74,1569.98057,1601022422.85,0.109,20.22
1601022432.74,1569.97748,1601022432.69,-0.051,19.96
1601022442.74,1569.97363,1601022442.52,-0.221,19.63
1601022452.74,1569.96817,1601022452.36,-0.381,19.25
1601022462.74,1569.96417,1601022463.28,0.539,18.65
1601022472.74,1569.95885,1601022473.12,0.379,18.2
1601022482.74,1569.95318,1601022482.95,0.209,17.67
1601022492.74,1569.94721,1601022492.79,0.049,17.12
1601022502.74,1569.94013,1601022502.62,-0.121,16.54
1601022512.74,1569.93306,1601022512.46,-0.281,16.01
1601022522.74,1569.92728,1601022522.3,-0.441,15.46
1601022532.74,1569.91953,1601022533.22,0.479,14.79
1601022542.74,1569.91195,1601022543.06,0.319,14.09
1601022552.74,1569.90324,1601022552.9,0.159,13.46
1601022562.74,1569.89655,1601022562.73,-0.011,12.85
1601022572.74,1569.88902,1601022572.57,-0.171,12.18
1601022582.74,1569.88064,1601022582.39,-0.351,11.57
1601022592.74,1569.87463,1601022592.22,-0.521,11.0
1601022602.74,1569.86709,1601022603.14,0.399,10.5
1601022612.74,1569.86311,1601022612.96,0.219,10.17
1601022622.74,1569.86034,1601022622.78,0.039,9.9
1601022632.74,1569.85848,1601022632.6,-0.141,9.71
1601022642.74,1569.85559,1601022642.42,-0.321,9.48
1601022652.74,1569.85057,1601022652.25,-0.491,9.33
1601022662.74,1569.85119,1601022663.16,0.419,9.11
1601022672.74,1569.85031,1601022672.98,0.239,8.99
1601022682.74,1569.84942,1601022682.8,0.059,8.91
1601022692.74,1569.84792,1601022692.62,-0.121,8.78
1601022702.74,1569.84648,1601022702.44,-0.301,8.67
1601022712.74,1569.84534,1601022712.26,-0.481,8.55
1601022722.74,1569.84394,1601022723.18,0.439,8.47
1601022732.74,1569.84067,1601022733.0,0.259,8.35
1601022742.74,1569.84188,1601022742.82,0.079,8.26
1601022752.74,1569.83925,1601022752.64,-0.101,8.17
1601022762.74,1569.83786,1601022762.46,-0.281,8.09
1601022772.74,1569.83607,1601022772.29,-0.451,7.99
1601022782.74,1569.83586,1601022783.19,0.449,7.87
1601022792.74,1569.83659,1601022793.02,0.279,7.8
1601022802.74,1569.83482,1601022802.84,0.099,7.7
1601022812.74,1569.83227,1601022812.66,-0.081,7.61
1601022822.74,1569.83231,1601022822.48,-0.261,7.54
1601022832.74,1569.83229,1601022832.3,-0.441,7.49
1601022842.74,1569.82988,1601022843.22,0.479,7.42
1601022852.74,1569.82869,1601022853.04,0.299,7.36
1601022862.74,1569.83002,1601022862.86,0.119,7.31
1601022872.74,1569.82972,1601022872.68,-0.061,7.26
1601022882.74,1569.82867,1601022882.5,-0.241,7.19
1601022892.74,1569.82875,1601022892.33,-0.411,7.16
1601022902.74,1569.82751,1601022903.23,0.489,7.16
1601022912.74,1569.82668,1601022913.06,0.319,7.08
1601022922.74,1569.82767,1601022922.88,0.139,7.08
1601022932.74,1569.82673,1601022932.7,-0.041,7.03
1601022942.74,1569.8258,1601022942.52,-0.221,7.03
1601022952.74,1569.82639,1601022952.34,-0.401,7.01
1601022962.74,1569.82512,1601022963.26,0.519,6.99
1601022972.74,1569.82503,1601022973.08,0.339,6.95
1601022982.74,1569.8266,1601022982.9,0.159,6.99
