UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601022272.74,1550.02062,1601022272.42,-0.321,20.33
1601022282.74,1550.02075,1601022282.26,-0.481,20.25
1601022292.74,1550.0208,1601022293.18,0.439,20.25
1601022302.74,1550.02044,1601022303.02,0.279,20.22
1601022312.74,1550.01936,1601022312.85,0.109,20.18
1601022322.74,1550.01874,1601022322.69,-0.051,20.18
1601022332.74,1550.0192,1601022332.52,-0.221,20.18
1601022342.74,1550.0193,1601022342.36,-0.381,20.14
1601022352.74,1550.01923,1601022353.28,0.539,20.17
1601022362.74,1550.0196,1601022363.11,0.369,20.14
1601022372.74,1550.0185,1601022372.96,0.219,20.14
1601022382.74,1550.01902,1601022382.79,0.049,20.09
1601022392.74,1550.01795,1601022392.62,-0.121,20.13
1601022402.74,1550.01869,1601022402.46,-0.281,20.12
1601022412.74,1550.01821,1601022412.3,-0.441,20.11
1601022422.74,1550.01694,1601022423.22,0.479,19.91
1601022432.74,1550.01353,1601022433.05,0.309,19.61
1601022442.74,1550.0085,1601022442.89,0.149,19.09
1601022452.74,1550.00278,1601022452.73,-0.011,18.59
1601022462.74,1549.99632,1601022462.57,-0.171,17.96
1601022472.74,1549.99013,1601022472.4,-0.341,17.42
1601022482.74,1549.985,1601022482.23,-0.511,16.82
1601022492.74,1549.97734,1601022493.16,0.419,16.18
1601022502.74,1549.96934,1601022503.0,0.259,15.52
1601022512.74,1549.962,1601022512.83,0.089,14.81
1601022522.74,1549.95373,1601022522.67,-0.071,14.1
1601022532.74,1549.94647,1601022532.5,-0.241,13.41
1601022542.74,1549.93753,1601022542.34,-0.401,12.64
1601022552.74,1549.92765,1601022553.26,0.519,11.88
1601022562.74,1549.91852,1601022563.1,0.359,11.13
1601022572.74,1549.91063,1601022572.94,0.199,10.36
1601022582.74,1549.90129,1601022582.77,0.029,9.7
1601022592.74,1549.89506,1601022592.59,-0.151,9.23
1601022602.74,1549.89095,1601022602.42,-0.321,8.8
1601022612.74,1549.88608,1601022612.24,-0.501,8.46
1601022622.74,1549.88512,1601022623.15,0.409,8.28
1601022632.74,1549.88284,1601022632.97,0.229,8.1
1601022642.74,1549.88094,1601022642.8,0.059,7.97
1601022652.74,1549.87846,1601022652.61,-0.131,7.86
1601022662.74,1549.87962,1601022662.44,-0.301,7.82
1601022672.74,1549.87594,1601022672.26,-0.481,7.7
1601022682.74,1549.87713,1601022683.17,0.429,7.65
1601022692.74,1549.8759,1601022692.99,0.249,7.56
1601022702.74,1549.87465,1601022702.81,0.069,7.48
1601022712.74,1549.87312,1601022712.63,-0.111,7.4
1601022722.74,1549.87297,1601022722.46,-0.281,7.42
1601022732.74,1549.87195,1601022732.28,-0.461,7.31
1601022742.74,1549.87071,1601022743.19,0.449,7.2
1601022752.74,1549.87078,1601022753.01,0.269,7.16
1601022762.74,1549.87109,1601022762.84,0.099,7.17
1601022772.74,1549.86948,1601022772.66,-0.081,7.04
1601022782.74,1549.8679,1601022782.47,-0.271,6.99
1601022792.74,1549.86863,1601022792.3,-0.441,6.91
1601022802.74,1549.86627,1601022803.22,0.479,6.84
1601022812.74,1549.86722,1601022813.03,0.289,6.79
1601022822.74,1549.86719,1601022822.86,0.119,6.73
1601022832.74,1549.86655,1601022832.68,-0.061,6.68
1601022842.74,1549.86485,1601022842.5,-0.241,6.66
1601022852.74,1549.86338,1601022852.32,-0.421,6.57
1601022862.74,1549.86469,1601022863.23,0.489,6.59
1601022872.74,1549.86548,1601022873.06,0.319,6.54
1601022882.74,1549.86383,1601022882.88,0.139,6.52
1601022892.74,1549.86211,1601022892.69,-0.051,6.52
1601022902.74,1549.86367,1601022902.52,-0.221,6.46
1601022912.74,1549.86275,1601022912.34,-0.401,6.44
1601022922.74,1549.86352,1601022923.25,0.509,6.42
1601022932.74,1549.86347,1601022933.07,0.329,6.45
1601022942.74,1549.86289,1601022942.9,0.159,6.42
1601022952.74,1549.86282,1601022952.71,-0.031,6.43
1601022962.74,1549.86188,1601022962.54,-0.201,6.44
1601022972.74,1549.86186,1601022972.36,-0.381,6.43
1601022982.74,1549.86323,1601022983.27,0.529,6.46
1601022992.74,1549.86296,1601022993.1,0.359,6.46
1601023002.74,1549.86373,1601023002.91,0.169,6.49
1601023012.74,1549.86432,1601023012.74,-0.001,6.49
1601023022.74,1549.86397,1601023022.56,-0.181,6.49
1601023032.74,1549.86225,1601023032.38,-0.361,6.49
1601023042.74,1549.86396,1601023042.2,-0.541,6.45
1601023052.74,1549.86353,1601023053.11,0.369,6.49
1601023062.74,1549.86429,1601023062.94,0.199,6.46
1601023072.74,1549.86291,1601023072.76,0.019,6.46
1601023082.74,1549.86336,1601023082.59,-0.151,6.43
1601023092.74,1549.8638,1601023092.41,-0.331,6.45
1601023102.74,1549.86241,1601023102.23,-0.511,6.4
1601023112.74,1549.8626,1601023113.14,0.399,6.4
1601023122.74,1549.86393,1601023122.96,0.219,6.36
1601023132.74,1549.86268,1601023132.78,0.039,6.31
1601023142.74,1549.86206,1601023142.6,-0.141,6.29
1601023152.74,1549.86221,1601023152.43,-0.311,6.24
1601023162.74,1549.86178,1601023162.24,-0.501,6.29
1601023172.74,1549.86175,1601023173.16,0.419,6.26
1601023182.74,1549.86208,1601023182.98,0.239,6.23
1601023192.74,1549.86197,1601023192.8,0.059,6.23
1601023202.74,1549.86155,1601023202.62,-0.121,6.26
1601023212.74,1549.86056,1601023212.46,-0.281,6.24
1601023222.74,1549.86125,1601023222.27,-0.471,6.2
1601023232.74,1549.8611,1601023233.18,0.439,6.25
1601023242.74,1549.86339,1601023243.0,0.259,6.22
1601023252.74,1549.86086,1601023252.82,0.079,6.23
1601023262.74,1549.86047,1601023262.65,-0.091,6.25
1601023272.74,1549.86148,1601023272.47,-0.271,6.22
1601023282.74,1549.86265,1601023282.28,-0.461,6.22
1601023292.74,1549.86028,1601023293.2,0.459,6.21
1601023302.74,1549.86259,1601023303.03,0.289,6.18
1601023312.74,1549.86144,1601023312.84,0.099,6.19
1601023322.74,1549.86142,1601023322.67,-0.071,6.17
1601023332.74,1549.86068,1601023332.49,-0.251,6.19
1601023342.74,1549.85992,1601023342.31,-0.431,6.15
1601023352.74,1549.86008,1601023353.22,0.479,6.15
1601023362.74,1549.85956,1601023363.05,0.309,6.09
1601023372.74,1549.86073,1601023372.87,0.129,6.08
1601023382.74,1549.85964,1601023382.69,-0.051,6.08
1601023392.74,1549.8585,1601023392.51,-0.231,6.08
1601023402.74,1549.85925,1601023402.34,-0.401,6.07
1601023412.74,1549.85905,1601023413.27,0.529,6.02
1601023422.74,1549.85903,1601023423.07,0.329,6.01
1601023432.74,1549.859,1601023432.89,0.149,5.99
1601023442.74,1549.85815,1601023442.72,-0.021,5.95
1601023452.74,1549.85799,1601023452.54,-0.201,5.93
1601023462.74,1549.85668,1601023462.37,-0.371,5.89
1601023472.74,1549.85757,1601023473.28,0.539,5.89
1601023482.74,1549.85789,1601023483.1,0.359,5.87
1601023492.74,1549.85688,1601023492.93,0.189,5.82
1601023502.74,1549.85828,1601023502.75,0.009,5.83
1601023512.74,1549.85635,1601023512.57,-0.171,5.81
1601023522.74,1549.85667,1601023522.39,-0.351,5.83
1601023532.74,1549.85676,1601023532.21,-0.531,5.81
1601023542.74,1549.85779,1601023543.13,0.389,5.86
1601023552.74,1549.85826,1601023552.95,0.209,5.85
1601023562.74,1549.85776,1601023562.77,0.029,5.83
1601023572.74,1549.85705,1601023572.59,-0.151,5.81
1601023582.74,1549.85705,1601023582.42,-0.321,5.8
1601023592.74,1549.8566,1601023592.24,-0.501,5.77
1601023602.74,1549.85555,1601023603.16,0.419,5.78
1601023612.74,1549.85585,1601023612.98,0.239,5.73
1601023622.74,1549.85642,1601023622.8,0.059,5.72
1601023632.74,1549.85564,1601023632.62,-0.121,5.65
1601023642.74,1549.856,1601023642.45,-0.291,5.62
1601023652.74,1549.8556,1601023652.27,-0.471,5.62
1601023662.74,1549.85532,1601023663.18,0.439,5.59
1601023672.74,1549.85379,1601023673.01,0.269,5.58
1601023682.74,1549.85321,1601023682.83,0.089,5.51
1601023692.74,1549.85316,1601023692.66,-0.081,5.5
1601023702.74,1549.8537,1601023702.48,-0.261,5.49
1601023712.74,1549.85323,1601023712.3,-0.441,5.48
1601023722.74,1549.85351,1601023723.21,0.469,5.49
1601023732.74,1549.85383,1601023733.04,0.299,5.49
1601023742.74,1549.85394,1601023742.86,0.119,5.45
1601023752.74,1549.85234,1601023752.68,-0.061,5.47
1601023762.74,1549.85364,1601023762.51,-0.231,5.46
1601023772.74,1549.85262,1601023772.33,-0.411,5.44
1601023782.74,1549.85352,1601023783.24,0.499,5.48
1601023792.74,1549.85163,1601023793.06,0.319,5.48
1601023802.74,1549.85493,1601023802.89,0.149,5.5
1601023812.74,1549.85396,1601023812.71,-0.031,5.47
1601023822.74,1549.85346,1601023822.53,-0.211,5.52
1601023832.74,1549.85561,1601023832.35,-0.391,5.53
1601023842.74,1549.85395,1601023843.27,0.529,5.53
1601023852.74,1549.85423,1601023853.09,0.349,5.55
1601023862.74,1549.8532,1601023862.92,0.179,5.48
1601023872.74,1549.85325,1601023872.73,-0.011,5.51
1601023882.74,1549.85342,1601023882.57,-0.171,5.46
1601023892.74,1549.85215,1601023892.39,-0.351,5.45
1601023902.74,1549.85339,1601023902.2,-0.541,5.46
1601023912.74,1549.85186,1601023913.12,0.379,5.39
1601023922.74,1549.85198,1601023922.94,0.199,5.31
1601023932.74,1549.85039,1601023932.77,0.029,5.33
1601023942.74,1549.85141,1601023942.6,-0.141,5.31
1601023952.74,1549.85166,1601023952.42,-0.321,5.29
1601023962.74,1549.85143,1601023962.23,-0.511,5.27
1601023972.74,1549.85104,1601023973.14,0.399,5.25
1601023982.74,1549.85135,1601023982.98,0.239,5.27
1601023992.74,1549.85061,1601023992.79,0.049,5.25
1601024002.74,1549.85118,1601024002.61,-0.131,5.24
1601024012.74,1549.85067,1601024012.44,-0.301,5.22
1601024022.74,1549.85037,1601024022.26,-0.481,5.23
1601024032.74,1549.85054,1601024033.17,0.429,5.19
1601024042.74,1549.85003,1601024042.99,0.249,5.17
1601024052.74,1549.84955,1601024052.82,0.079,5.15
1601024062.74,1549.85008,1601024062.64,-0.101,5.13
1601024072.74,1549.84943,1601024072.47,-0.271,5.09
1601024082.74,1549.84894,1601024082.28,-0.461,5.06
1601024092.74,1549.84957,1601024093.2,0.459,5.04
