UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601022272.74,1545.02539,1601022272.22,-0.521,20.46
1601022282.74,1545.02573,1601022283.15,0.409,20.42
1601022292.74,1545.02575,1601022292.98,0.239,20.37
1601022302.74,1545.02443,1601022302.82,0.079,20.43
1601022312.74,1545.02422,1601022312.65,-0.091,20.42
1601022322.74,1545.02389,1601022322.49,-0.251,20.41
1601022332.74,1545.02382,1601022332.32,-0.421,20.4
1601022342.74,1545.02422,1601022343.25,0.509,20.38
1601022352.74,1545.02363,1601022353.08,0.339,20.36
1601022362.74,1545.02382,1601022362.92,0.179,20.36
1601022372.74,1545.02395,1601022372.75,0.009,20.32
1601022382.74,1545.02385,1601022382.59,-0.151,20.33
1601022392.74,1545.02408,1601022392.42,-0.321,20.34
1601022402.74,1545.02303,1601022402.26,-0.481,20.35
1601022412.74,1545.02384,1601022413.18,0.439,20.34
1601022422.74,1545.02334,1601022423.02,0.279,20.22
1601022432.74,1545.02038,1601022432.86,0.119,19.89
1601022442.74,1545.01598,1601022442.69,-0.051,19.54
1601022452.74,1545.01166,1601022452.53,-0.211,19.11
1601022462.74,1545.00669,1601022462.37,-0.371,18.59
1601022472.74,1544.99897,1601022472.2,-0.541,18.06
1601022482.74,1544.99431,1601022483.13,0.389,17.45
1601022492.74,1544.98795,1601022492.96,0.219,16.94
1601022502.74,1544.98009,1601022502.8,0.059,16.34
1601022512.74,1544.97406,1601022512.63,-0.111,15.75
1601022522.74,1544.96666,1601022522.47,-0.271,15.08
1601022532.74,1544.95973,1601022532.3,-0.441,14.46
1601022542.74,1544.95122,1601022543.23,0.489,13.74
1601022552.74,1544.94464,1601022553.07,0.329,13.12
1601022562.74,1544.93629,1601022562.9,0.159,12.41
1601022572.74,1544.92798,1601022572.74,-0.001,11.63
1601022582.74,1544.91865,1601022582.57,-0.171,10.89
1601022592.74,1544.91166,1601022592.39,-0.351,10.22
1601022602.74,1544.90592,1601022602.22,-0.521,9.75
1601022612.74,1544.90124,1601022613.13,0.389,9.6
1601022622.74,1544.89944,1601022622.95,0.209,9.46
1601022632.74,1544.89942,1601022632.77,0.029,9.44
1601022642.74,1544.89691,1601022642.59,-0.151,9.23
1601022652.74,1544.89554,1601022652.42,-0.321,9.12
1601022662.74,1544.89345,1601022662.24,-0.501,8.97
1601022672.74,1544.89272,1601022673.15,0.409,8.92
