UnixTime_FBG, Lambda, UnixTime_PT1000, diff_t, T
1601022272.74,1545.05021,1601022272.23,-0.511,20.29
1601022282.74,1545.04947,1601022283.17,0.429,20.31
1601022292.74,1545.04983,1601022293.0,0.259,20.24
1601022302.74,1545.04862,1601022302.84,0.099,20.25
1601022312.74,1545.04867,1601022312.67,-0.071,20.23
1601022322.74,1545.0487,1601022322.5,-0.241,20.23
1601022332.74,1545.04793,1601022332.34,-0.401,20.22
1601022342.74,1545.04861,1601022343.26,0.519,20.18
1601022352.74,1545.0488,1601022353.1,0.359,20.19
1601022362.74,1545.04819,1601022362.93,0.189,20.19
1601022372.74,1545.04809,1601022372.77,0.029,20.17
1601022382.74,1545.04795,1601022382.6,-0.141,20.16
1601022392.74,1545.04904,1601022392.44,-0.301,20.13
1601022402.74,1545.04757,1601022402.27,-0.471,20.14
1601022412.74,1545.04831,1601022413.2,0.459,20.11
1601022422.74,1545.0462,1601022423.04,0.299,19.96
1601022432.74,1545.04313,1601022432.88,0.139,19.65
1601022442.74,1545.03801,1601022442.71,-0.031,19.18
1601022452.74,1545.03133,1601022452.55,-0.191,18.59
1601022462.74,1545.02485,1601022462.38,-0.361,17.99
1601022472.74,1545.01771,1601022472.22,-0.521,17.39
1601022482.74,1545.01212,1601022483.15,0.409,16.73
1601022492.74,1545.00479,1601022492.98,0.239,16.1
1601022502.74,1544.9956,1601022502.81,0.069,15.49
1601022512.74,1544.98929,1601022512.65,-0.091,14.74
1601022522.74,1544.98047,1601022522.49,-0.251,14.01
1601022532.74,1544.97264,1601022532.32,-0.421,13.27
1601022542.74,1544.96347,1601022543.25,0.509,12.42
1601022552.74,1544.95418,1601022553.08,0.339,11.69
1601022562.74,1544.94382,1601022562.92,0.179,10.88
1601022572.74,1544.93578,1601022572.76,0.019,10.23
1601022582.74,1544.92754,1601022582.58,-0.161,9.61
1601022592.74,1544.92259,1601022592.41,-0.331,9.15
1601022602.74,1544.9188,1601022602.23,-0.511,8.64
1601022612.74,1544.91369,1601022613.15,0.409,8.38
1601022622.74,1544.91152,1601022622.97,0.229,8.14
1601022632.74,1544.91084,1601022632.79,0.049,7.93
1601022642.74,1544.9083,1601022642.61,-0.131,7.79
1601022652.74,1544.90698,1601022652.44,-0.301,7.67
1601022662.74,1544.90602,1601022662.25,-0.491,7.6
1601022672.74,1544.90551,1601022673.17,0.429,7.55
1601022682.74,1544.90496,1601022682.99,0.249,7.5
1601022692.74,1544.90329,1601022692.81,0.069,7.45
1601022702.74,1544.90363,1601022702.63,-0.111,7.4
1601022712.74,1544.90209,1601022712.46,-0.281,7.31
1601022722.74,1544.90087,1601022722.28,-0.461,7.3
1601022732.74,1544.90191,1601022733.19,0.449,7.26
1601022742.74,1544.90015,1601022743.01,0.269,7.16
1601022752.74,1544.90015,1601022752.83,0.089,7.13
1601022762.74,1544.89993,1601022762.65,-0.091,7.1
1601022772.74,1544.89926,1601022772.47,-0.271,7.08
1601022782.74,1544.89845,1601022782.3,-0.441,6.98
1601022792.74,1544.89783,1601022793.21,0.469,6.91
1601022802.74,1544.89698,1601022803.03,0.289,6.82
1601022812.74,1544.89678,1601022812.85,0.109,6.81
1601022822.74,1544.89672,1601022822.67,-0.071,6.75
1601022832.74,1544.89621,1601022832.49,-0.251,6.65
1601022842.74,1544.89603,1601022842.31,-0.431,6.63
1601022852.74,1544.89474,1601022853.22,0.479,6.56
1601022862.74,1544.89281,1601022863.05,0.309,6.55
1601022872.74,1544.89369,1601022872.87,0.129,6.52
1601022882.74,1544.89278,1601022882.69,-0.051,6.47
1601022892.74,1544.8938,1601022892.52,-0.221,6.42
1601022902.74,1544.89263,1601022902.34,-0.401,6.46
1601022912.74,1544.89153,1601022913.25,0.509,6.37
1601022922.74,1544.8932,1601022923.07,0.329,6.4
1601022932.74,1544.8937,1601022932.89,0.149,6.38
1601022942.74,1544.89209,1601022942.71,-0.031,6.39
1601022952.74,1544.89317,1601022952.54,-0.201,6.39
1601022962.74,1544.89215,1601022962.36,-0.381,6.38
1601022972.74,1544.89221,1601022973.27,0.529,6.38
1601022982.74,1544.89164,1601022983.09,0.349,6.31
1601022992.74,1544.89192,1601022992.91,0.169,6.36
1601023002.74,1544.89314,1601023002.73,-0.011,6.38
1601023012.74,1544.89334,1601023012.56,-0.181,6.41
1601023022.74,1544.89326,1601023022.38,-0.361,6.43
1601023032.74,1544.8922,1601023032.2,-0.541,6.46
1601023042.74,1544.89369,1601023043.11,0.369,6.41
1601023052.74,1544.89305,1601023052.94,0.199,6.44
1601023062.74,1544.89396,1601023062.75,0.009,6.43
1601023072.74,1544.89357,1601023072.58,-0.161,6.43
1601023082.74,1544.89219,1601023082.4,-0.341,6.39
1601023092.74,1544.89212,1601023092.22,-0.521,6.36
1601023102.74,1544.89239,1601023103.14,0.399,6.36
1601023112.74,1544.89256,1601023112.95,0.209,6.33
1601023122.74,1544.89259,1601023122.78,0.039,6.33
1601023132.74,1544.89254,1601023132.6,-0.141,6.31
1601023142.74,1544.89147,1601023142.42,-0.321,6.29
1601023152.74,1544.89135,1601023152.24,-0.501,6.24
1601023162.74,1544.89161,1601023163.16,0.419,6.23
1601023172.74,1544.89161,1601023172.98,0.239,6.24
1601023182.74,1544.89121,1601023182.79,0.049,6.17
1601023192.74,1544.89118,1601023192.62,-0.121,6.18
1601023202.74,1544.8903,1601023202.44,-0.301,6.19
1601023212.74,1544.89077,1601023212.26,-0.481,6.18
1601023222.74,1544.89082,1601023223.18,0.439,6.19
1601023232.74,1544.8902,1601023233.0,0.259,6.14
1601023242.74,1544.89054,1601023242.81,0.069,6.17
1601023252.74,1544.89035,1601023252.64,-0.101,6.19
1601023262.74,1544.89006,1601023262.46,-0.281,6.17
1601023272.74,1544.89061,1601023272.28,-0.461,6.16
1601023282.74,1544.89091,1601023283.2,0.459,6.16
1601023292.74,1544.89016,1601023293.02,0.279,6.15
1601023302.74,1544.8911,1601023302.84,0.099,6.17
1601023312.74,1544.89044,1601023312.67,-0.071,6.12
1601023322.74,1544.88945,1601023322.48,-0.261,6.15
1601023332.74,1544.89087,1601023332.31,-0.431,6.14
1601023342.74,1544.88971,1601023343.22,0.479,6.13
1601023352.74,1544.89064,1601023353.04,0.299,6.13
1601023362.74,1544.88902,1601023362.86,0.119,6.08
1601023372.74,1544.89,1601023372.69,-0.051,6.04
1601023382.74,1544.88923,1601023382.51,-0.231,6.0
1601023392.74,1544.8894,1601023392.33,-0.411,6.0
1601023402.74,1544.88927,1601023403.25,0.509,6.01
1601023412.74,1544.88883,1601023413.07,0.329,5.96
1601023422.74,1544.88807,1601023422.89,0.149,5.94
1601023432.74,1544.8878,1601023432.72,-0.021,5.98
1601023442.74,1544.88742,1601023442.54,-0.201,5.88
1601023452.74,1544.88801,1601023452.36,-0.381,5.85
1601023462.74,1544.88553,1601023463.27,0.529,5.82
1601023472.74,1544.88796,1601023473.1,0.359,5.82
1601023482.74,1544.88755,1601023482.92,0.179,5.78
1601023492.74,1544.88672,1601023492.74,-0.001,5.78
1601023502.74,1544.88706,1601023502.57,-0.171,5.77
1601023512.74,1544.88694,1601023512.38,-0.361,5.78
1601023522.74,1544.88643,1601023522.21,-0.531,5.79
1601023532.74,1544.88666,1601023533.13,0.389,5.78
1601023542.74,1544.88716,1601023542.94,0.199,5.81
1601023552.74,1544.88834,1601023552.77,0.029,5.81
1601023562.74,1544.888,1601023562.59,-0.151,5.8
1601023572.74,1544.88662,1601023572.42,-0.321,5.76
1601023582.74,1544.88672,1601023582.23,-0.511,5.76
1601023592.74,1544.88718,1601023593.15,0.409,5.69
1601023602.74,1544.88615,1601023602.97,0.229,5.72
1601023612.74,1544.8856,1601023612.79,0.049,5.67
1601023622.74,1544.88555,1601023622.62,-0.121,5.64
1601023632.74,1544.88516,1601023632.45,-0.291,5.64
1601023642.74,1544.88563,1601023642.27,-0.471,5.62
1601023652.74,1544.88391,1601023653.18,0.439,5.58
1601023662.74,1544.88497,1601023663.0,0.259,5.57
1601023672.74,1544.88317,1601023672.82,0.079,5.53
1601023682.74,1544.88313,1601023682.65,-0.091,5.52
1601023692.74,1544.88327,1601023692.48,-0.261,5.47
1601023702.74,1544.88326,1601023702.29,-0.451,5.46
1601023712.74,1544.88314,1601023713.2,0.459,5.44
1601023722.74,1544.88293,1601023723.03,0.289,5.45
